year,male,female,total
2019,8020,6437,14457
2020,7973,6402,14375
2021,7919,6365,14284
2022,7857,6327,14184
2023,7795,6285,14080
2024,7732,6243,13975
2025,7674,6207,13881
2026,7613,6169,13782
2027,7549,6130,13679
2028,7485,6088,13573
2029,7415,6045,13460
2030,7344,6004,13348
2031,7268,5956,13224
2032,7186,5909,13095
2033,7101,5857,12958
2034,7017,5804,12821
2035,6939,5759,12698
2036,6857,5710,12567
2037,6770,5657,12427
2038,6678,5604,12282
2039,6583,5547,12130
2040,6484,5490,11974
2041,6381,5433,11814
2042,6276,5374,11650
2043,6172,5313,11485
2044,6061,5249,11310
2045,5956,5193,11149
2046,5851,5134,10985
2047,5743,5069,10812
2048,5634,5007,10641
2049,5526,4944,10470
2050,5417,4883,10300
2051,5310,4818,10128
2052,5203,4755,9958
2053,5097,4696,9793
2054,4993,4634,9627
2055,4892,4576,9468
2056,4792,4519,9311
2057,4691,4462,9153
2058,4592,4401,8993
2059,4497,4343,8840
2060,4403,4283,8686
2061,4310,4224,8534
2062,4216,4161,8377
2063,4124,4092,8216
2064,4036,4028,8064
2065,3955,3966,7921
