year,male,female,total
2019,61897,62045,123942
2020,61874,62206,124080
2021,61833,62360,124193
2022,61787,62495,124282
2023,61730,62608,124338
2024,61652,62705,124357
2025,61590,62809,124399
2026,61519,62892,124411
2027,61426,62951,124377
2028,61303,62980,124283
2029,61153,62980,124133
2030,60974,62947,123921
2031,60771,62883,123654
2032,60541,62785,123326
2033,60276,62650,122926
2034,59983,62482,122465
2035,59716,62339,122055
2036,59416,62162,121578
2037,59088,61952,121040
2038,58726,61706,120432
2039,58337,61426,119763
2040,57919,61107,119026
2041,57475,60758,118233
2042,57009,60380,117389
2043,56523,59974,116497
2044,56025,59536,115561
2045,55560,59135,114695
2046,55080,58708,113788
2047,54577,58253,112830
2048,54057,57766,111823
2049,53522,57246,110768
2050,52976,56707,109683
2051,52414,56140,108554
2052,51835,55555,107390
2053,51250,54951,106201
2054,50654,54328,104982
2055,50090,53749,103839
2056,49518,53156,102674
2057,48940,52550,101490
2058,48349,51925,100274
2059,47749,51292,99041
2060,47145,50645,97790
2061,46534,49994,96528
2062,45912,49333,95245
2063,45281,48666,93947
2064,44647,47987,92634
2065,44038,47351,91389
