year,male,female,total
2019,37856,40559,78415
2020,37731,40489,78220
2021,37584,40404,77988
2022,37427,40303,77730
2023,37256,40187,77443
2024,37068,40054,77122
2025,36886,39934,76820
2026,36694,39800,76494
2027,36495,39654,76149
2028,36275,39490,75765
2029,36044,39310,75354
2030,35801,39116,74917
2031,35552,38913,74465
2032,35288,38698,73986
2033,35013,38469,73482
2034,34732,38230,72962
2035,34485,38034,72519
2036,34224,37820,72044
2037,33956,37594,71550
2038,33681,37359,71040
2039,33398,37106,70504
2040,33108,36840,69948
2041,32806,36554,69360
2042,32492,36259,68751
2043,32158,35945,68103
2044,31815,35609,67424
2045,31499,35307,66806
2046,31172,34982,66154
2047,30830,34632,65462
2048,30479,34259,64738
2049,30110,33864,63974
2050,29736,33452,63188
2051,29354,33028,62382
2052,28963,32592,61555
2053,28572,32147,60719
2054,28177,31692,59869
2055,27807,31266,59073
2056,27436,30832,58268
2057,27061,30395,57456
2058,26685,29949,56634
2059,26311,29498,55809
2060,25938,29045,54983
2061,25562,28582,54144
2062,25193,28126,53319
2063,24824,27662,52486
2064,24453,27202,51655
2065,24101,26769,50870
