year,male,female,total
2019,4450,4155,8605
2020,4426,4145,8571
2021,4401,4133,8534
2022,4378,4123,8501
2023,4354,4111,8465
2024,4329,4097,8426
2025,4308,4085,8393
2026,4286,4070,8356
2027,4262,4054,8316
2028,4235,4039,8274
2029,4206,4024,8230
2030,4180,4005,8185
2031,4151,3988,8139
2032,4117,3969,8086
2033,4085,3948,8033
2034,4052,3929,7981
2035,4025,3912,7937
2036,3994,3891,7885
2037,3962,3868,7830
2038,3930,3844,7774
2039,3897,3818,7715
2040,3859,3792,7651
2041,3820,3764,7584
2042,3777,3730,7507
2043,3733,3697,7430
2044,3687,3660,7347
2045,3644,3626,7270
2046,3598,3593,7191
2047,3554,3556,7110
2048,3510,3516,7026
2049,3464,3477,6941
2050,3417,3440,6857
2051,3366,3400,6766
2052,3321,3362,6683
2053,3271,3319,6590
2054,3221,3276,6497
2055,3176,3234,6410
2056,3130,3195,6325
2057,3081,3156,6237
2058,3036,3118,6154
2059,2990,3078,6068
2060,2944,3039,5983
2061,2898,3001,5899
2062,2853,2959,5812
2063,2805,2916,5721
2064,2758,2874,5632
2065,2713,2832,5545
