year,male,female,total
2019,114388,117752,232140
2020,114314,117867,232181
2021,114201,117956,232157
2022,114052,118000,232052
2023,113867,118001,231868
2024,113642,117962,231604
2025,113433,117944,231377
2026,113196,117885,231081
2027,112923,117797,230720
2028,112603,117658,230261
2029,112236,117474,229710
2030,111826,117241,229067
2031,111372,116954,228326
2032,110870,116614,227484
2033,110321,116234,226555
2034,109729,115804,225533
2035,109207,115442,224649
2036,108631,115031,223662
2037,108013,114562,222575
2038,107347,114040,221387
2039,106641,113463,220104
2040,105886,112834,218720
2041,105092,112147,217239
2042,104267,111408,215675
2043,103410,110618,214028
2044,102517,109780,212297
2045,101690,109024,210714
2046,100829,108203,209032
2047,99919,107315,207234
2048,98984,106371,205355
2049,98021,105374,203395
2050,97026,104335,201361
2051,96011,103254,199265
2052,94977,102135,197112
2053,93924,100999,194923
2054,92856,99834,192690
2055,91855,98758,190613
2056,90832,97650,188482
2057,89798,96527,186325
2058,88740,95369,184109
2059,87673,94194,181867
2060,86595,92994,179589
2061,85502,91784,177286
2062,84394,90552,174946
2063,83276,89313,172589
2064,82148,88058,170206
2065,81070,86877,167947
