year,male,female,total
2019,2108,1822,3930
2020,2082,1809,3891
2021,2057,1795,3852
2022,2033,1778,3811
2023,2007,1763,3770
2024,1983,1748,3731
2025,1960,1735,3695
2026,1936,1720,3656
2027,1910,1704,3614
2028,1887,1687,3574
2029,1858,1671,3529
2030,1833,1652,3485
2031,1805,1630,3435
2032,1779,1611,3390
2033,1751,1590,3341
2034,1722,1568,3290
2035,1700,1550,3250
2036,1673,1530,3203
2037,1645,1510,3155
2038,1619,1489,3108
2039,1592,1468,3060
2040,1567,1448,3015
2041,1541,1429,2970
2042,1515,1411,2926
2043,1486,1391,2877
2044,1455,1372,2827
2045,1426,1354,2780
2046,1397,1333,2730
2047,1367,1315,2682
2048,1335,1294,2629
2049,1303,1272,2575
2050,1272,1249,2521
2051,1243,1227,2470
2052,1213,1206,2419
2053,1186,1185,2371
2054,1156,1163,2319
2055,1128,1144,2272
2056,1101,1120,2221
2057,1073,1094,2167
2058,1046,1071,2117
2059,1020,1047,2067
2060,993,1024,2017
2061,965,997,1962
2062,938,972,1910
2063,912,947,1859
2064,886,923,1809
2065,863,900,1763
