year,age_range,male,female,total
2019,0-4,40,45,85
2019,5-9,40,24,64
2019,10-14,49,49,98
2019,15-19,66,77,143
2019,20-24,84,86,170
2019,25-29,113,87,200
2019,30-34,110,78,188
2019,35-39,130,104,234
2019,40-44,172,121,293
2019,45-49,226,127,353
2019,50-54,309,146,455
2019,55-59,338,157,495
2019,60-64,278,154,432
2019,65-69,181,151,332
2019,70-74,115,121,236
2019,75-79,130,186,316
2019,80-84,87,169,256
2019,85-89,39,73,112
2019,90-94,19,56,75
2019,95-99,5,15,20
2019,100+,0,2,2
2020,0-4,46,38,84
2020,5-9,36,35,71
2020,10-14,48,40,88
2020,15-19,58,72,130
2020,20-24,82,81,163
2020,25-29,114,82,196
2020,30-34,100,94,194
2020,35-39,137,97,234
2020,40-44,164,118,282
2020,45-49,195,112,307
2020,50-54,302,143,445
2020,55-59,335,151,486
2020,60-64,283,170,453
2020,65-69,206,152,358
2020,70-74,117,125,242
2020,75-79,115,155,270
2020,80-84,98,188,286
2020,85-89,39,81,120
2020,90-94,21,50,71
2020,95-99,5,14,19
2020,100+,0,0,0
2021,0-4,48,39,87
2021,5-9,36,36,72
2021,10-14,40,36,76
2021,15-19,57,69,126
2021,20-24,76,78,154
2021,25-29,104,85,189
2021,30-34,107,95,202
2021,35-39,125,88,213
2021,40-44,160,110,270
2021,45-49,185,116,301
2021,50-54,284,137,421
2021,55-59,331,151,482
2021,60-64,299,167,466
2021,65-69,218,160,378
2021,70-74,129,131,260
2021,75-79,92,126,218
2021,80-84,106,195,301
2021,85-89,46,84,130
2021,90-94,20,52,72
2021,95-99,6,16,22
2021,100+,0,0,0
2022,0-4,43,37,80
2022,5-9,40,41,81
2022,10-14,39,33,72
2022,15-19,54,64,118
2022,20-24,74,76,150
2022,25-29,102,85,187
2022,30-34,112,93,205
2022,35-39,115,87,202
2022,40-44,143,102,245
2022,45-49,185,119,304
2022,50-54,266,137,403
2022,55-59,321,153,474
2022,60-64,306,158,464
2022,65-69,233,161,394
2022,70-74,137,138,275
2022,75-79,78,111,189
2022,80-84,108,187,295
2022,85-89,53,93,146
2022,90-94,20,48,68
2022,95-99,7,21,28
2022,100+,0,0,0
2023,0-4,41,37,78
2023,5-9,44,44,88
2023,10-14,40,31,71
2023,15-19,50,54,104
