統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10312,宜蘭縣蘇澳鎮,蘇南里,213,557,270,287,1,0,3,1,1,1,1,2,0,1,2,2,1,3,1,6,2,3,0,2,1,1,0,0,2,3,4,2,4,2,5,4,3,3,3,6,0,3,5,3,4,3,3,4,4,3,1,3,2,3,1,3,3,5,2,5,6,3,1,1,6,4,5,3,5,2,5,7,4,6,3,4,5,4,1,4,3,4,2,2,6,4,4,5,2,1,3,7,3,1,3,3,8,5,5,4,5,2,3,0,8,2,3,3,4,3,5,8,9,2,6,4,3,6,3,3,4,5,10,2,5,2,3,4,3,4,5,5,7,4,4,3,3,3,0,2,0,3,3,6,2,3,2,3,2,5,3,6,5,5,3,3,1,4,3,3,1,4,1,4,0,3,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
10312,宜蘭縣蘇澳鎮,蘇東里,253,663,333,330,0,3,2,4,5,3,0,2,3,2,1,1,1,1,0,3,2,1,2,4,3,1,1,4,3,2,3,1,1,2,2,3,4,3,5,0,3,7,3,4,12,3,3,6,6,5,7,6,3,5,6,3,4,11,3,5,8,4,3,5,11,5,8,7,5,3,5,5,3,6,5,5,7,5,6,2,6,5,6,4,5,3,5,0,5,3,6,3,2,11,3,1,4,10,5,3,3,5,5,11,7,6,5,7,2,6,10,6,7,8,10,7,4,6,3,4,7,3,9,5,4,3,4,4,7,7,2,4,9,3,5,3,1,4,1,3,5,0,1,2,2,4,0,0,0,5,3,2,2,1,3,4,2,1,1,2,2,2,3,3,0,2,2,2,1,1,1,2,0,2,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10312,宜蘭縣蘇澳鎮,蘇西里,1046,2940,1485,1455,11,4,8,11,15,5,7,9,9,4,7,6,15,10,15,7,15,7,8,12,14,14,14,14,10,16,11,9,16,19,16,18,10,16,29,17,18,21,19,19,20,17,21,18,23,20,19,18,28,15,21,27,27,18,23,26,21,20,21,21,29,29,26,25,19,27,19,22,21,17,16,15,20,16,22,21,19,30,19,20,21,22,25,22,23,25,20,22,15,18,33,22,28,33,26,18,28,21,27,17,21,21,24,22,26,16,27,31,14,22,29,23,24,18,21,19,25,20,22,28,19,26,28,22,19,17,29,23,18,19,16,11,16,23,9,14,9,20,9,11,14,9,17,15,10,15,10,9,14,14,9,9,10,6,8,10,7,8,3,9,3,6,6,6,3,6,2,11,2,5,4,5,4,6,2,4,1,4,2,1,1,2,0,4,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,
10312,宜蘭縣蘇澳鎮,長安里,250,642,343,299,5,0,0,1,2,2,3,1,1,3,3,1,1,0,1,0,2,1,3,5,2,1,4,4,4,0,3,4,3,3,4,2,1,5,8,4,3,2,3,6,2,6,2,3,5,1,8,5,5,4,9,9,9,5,4,1,1,4,10,0,2,4,4,6,3,4,5,4,6,3,3,2,4,1,4,2,7,3,2,3,5,1,5,3,8,3,5,7,4,6,4,3,3,3,5,5,5,3,7,5,7,5,7,3,8,3,8,10,4,6,7,6,5,7,5,2,13,6,5,5,9,5,3,7,9,2,7,2,5,4,2,3,1,2,5,5,1,1,1,4,1,3,1,5,2,2,1,2,1,4,2,4,2,6,3,2,1,2,2,1,0,2,7,4,1,1,2,4,0,2,1,3,0,3,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10312,宜蘭縣蘇澳鎮,隘丁里,1056,3289,1667,1622,7,12,10,15,14,17,16,12,11,9,12,6,23,15,13,15,24,15,12,13,17,15,15,13,22,22,19,23,33,29,22,21,17,28,44,30,25,19,31,25,31,21,38,37,30,30,27,19,23,22,24,17,26,21,27,19,15,18,24,22,24,19,23,37,23,29,29,35,24,24,33,33,19,33,32,28,29,33,23,21,20,30,16,24,30,35,18,16,14,32,29,19,30,19,23,39,31,19,26,20,21,25,34,15,36,24,17,16,22,18,32,22,25,17,22,27,28,14,7,24,16,19,19,20,14,23,18,15,8,19,8,6,15,11,18,8,9,11,5,10,7,10,17,11,9,9,9,8,7,11,8,11,10,13,12,6,7,9,10,4,7,10,9,4,3,5,7,11,10,6,4,4,3,4,1,5,2,4,0,1,1,3,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
10312,宜蘭縣蘇澳鎮,頂寮里,330,1124,575,549,4,5,4,5,4,1,4,3,0,6,3,4,4,5,3,4,5,3,8,2,5,2,7,3,11,8,3,1,7,8,6,5,7,11,16,7,7,16,13,7,12,11,10,13,13,6,12,8,18,15,8,7,10,10,6,6,7,9,3,7,13,11,8,7,7,10,6,15,13,8,9,6,6,10,13,11,7,4,4,5,7,4,7,10,10,6,8,8,9,7,8,8,8,11,13,10,19,7,9,9,10,10,10,15,14,6,5,11,14,8,12,6,6,8,9,5,2,9,5,6,5,6,2,7,9,8,3,3,3,2,4,6,0,2,2,1,1,3,3,2,3,4,6,4,4,4,2,4,1,12,4,5,6,2,5,2,2,4,2,2,5,2,4,4,0,2,2,1,2,0,2,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10312,宜蘭縣蘇澳鎮,龍德里,1271,3854,1998,1856,13,9,14,13,15,13,13,12,13,8,12,10,14,10,12,9,18,10,15,14,14,14,18,19,20,23,20,29,14,14,28,21,21,10,34,26,34,29,29,32,32,26,33,35,25,30,34,30,26,32,35,37,32,30,29,27,31,31,23,23,39,30,29,32,33,30,38,26,31,30,27,23,37,21,46,19,25,16,23,28,32,29,35,22,20,29,30,31,33,27,28,32,34,33,34,30,35,38,22,36,45,27,42,33,28,33,43,26,35,19,29,43,30,29,29,28,19,24,31,32,24,23,26,24,20,18,23,29,25,10,15,12,10,16,11,11,8,15,8,9,10,10,13,18,15,16,16,14,18,17,8,18,8,17,18,14,16,9,9,13,10,6,10,13,6,6,9,8,9,2,8,3,2,5,1,4,1,1,4,3,3,3,0,1,0,3,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,
10312,宜蘭縣頭城鎮,下埔里,394,1142,604,538,3,4,6,1,2,6,1,8,3,3,1,7,2,4,7,2,5,2,1,1,5,6,3,7,7,10,7,9,7,2,6,4,2,8,6,5,5,11,10,7,7,3,8,17,6,7,14,7,10,11,9,8,8,7,12,8,13,8,8,12,8,7,12,5,7,5,7,8,12,7,5,7,9,3,7,5,11,5,9,10,7,8,8,11,14,10,7,9,10,2,13,5,10,4,10,8,9,11,8,8,13,9,14,7,16,6,17,15,10,8,13,6,8,3,5,5,12,5,5,11,5,5,6,10,5,4,2,6,8,4,5,2,9,6,3,6,3,5,3,2,6,6,3,4,2,6,10,2,6,4,7,3,8,6,2,5,4,6,0,3,3,6,5,3,1,1,5,4,3,5,3,3,1,2,2,3,0,2,2,4,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
10312,宜蘭縣頭城鎮,中崙里,393,1271,663,608,5,4,7,5,6,1,7,4,5,5,2,6,5,4,4,5,4,4,6,1,4,6,4,2,5,5,4,7,13,3,8,9,9,7,8,10,9,9,8,5,13,10,9,14,11,8,17,7,13,10,13,12,9,13,5,3,9,13,8,8,10,10,8,10,6,10,11,9,9,9,6,13,11,4,11,9,13,12,13,7,8,6,10,6,13,9,9,9,10,8,10,7,13,11,15,7,11,7,11,10,11,14,16,7,7,9,9,7,12,8,7,10,12,6,5,14,4,7,9,8,7,13,10,4,7,10,6,17,5,4,7,2,3,4,7,4,8,4,5,2,2,4,3,2,4,5,6,5,4,6,4,7,7,6,5,4,6,3,0,6,5,2,5,3,4,3,3,5,0,4,3,4,1,2,1,3,1,0,1,1,0,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,
10312,宜蘭縣頭城鎮,二城里,464,1303,688,615,5,2,3,3,3,4,2,4,3,2,2,2,7,3,4,3,3,3,4,6,6,7,2,10,7,6,5,7,10,12,3,7,13,4,8,10,9,8,15,8,6,11,9,11,9,11,10,11,8,7,18,7,17,4,11,8,9,9,12,7,8,11,14,8,12,6,9,10,17,9,8,12,6,3,6,5,11,8,10,12,6,10,5,8,10,10,11,11,6,8,16,10,12,10,11,9,19,11,15,8,14,11,14,6,9,10,11,14,12,13,16,5,18,13,9,7,3,12,8,6,9,12,14,10,7,16,5,4,10,5,4,3,1,5,3,3,5,2,6,2,2,6,4,7,5,7,10,5,4,4,2,5,7,7,3,2,7,2,6,5,2,4,1,5,3,3,2,0,2,4,3,1,2,0,1,1,1,5,2,0,2,2,0,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
