year,male,female,total
2019,353138,328696,681834
2020,351888,327989,679877
2021,350533,327247,677780
2022,349071,326399,675470
2023,347492,325453,672945
2024,345814,324407,670221
2025,344281,323533,667814
2026,342654,322569,665223
2027,340931,321528,662459
2028,339091,320390,659481
2029,337134,319147,656281
2030,335055,317812,652867
2031,332847,316376,649223
2032,330510,314832,645342
2033,328034,313196,641230
2034,325411,311444,636855
2035,323031,309970,633001
2036,320486,308362,628848
2037,317780,306604,624384
2038,314918,304716,619634
2039,311903,302698,614601
2040,308737,300539,609276
2041,305431,298266,603697
2042,302004,295878,597882
2043,298459,293374,591833
2044,294821,290767,585588
2045,291402,288416,579818
2046,287877,285921,573798
2047,284245,283293,567538
2048,280524,280556,561080
2049,276724,277686,554410
2050,272892,274774,547666
2051,268988,271720,540708
2052,265058,268626,533684
2053,261125,265488,526613
2054,257189,262301,519490
2055,253496,259351,512847
2056,249788,256330,506118
2057,246085,253293,499378
2058,242367,250179,492546
2059,238651,246994,485645
2060,234941,243787,478728
2061,231244,240529,471773
2062,227549,237231,464780
2063,223865,233886,457751
2064,220210,230545,450755
2065,216739,227369,444108
