year,male,female,total
2019,9327,8497,17824
2020,9300,8486,17786
2021,9267,8472,17739
2022,9230,8459,17689
2023,9193,8444,17637
2024,9151,8419,17570
2025,9113,8399,17512
2026,9070,8377,17447
2027,9021,8355,17376
2028,8974,8331,17305
2029,8923,8305,17228
2030,8868,8280,17148
2031,8805,8243,17048
2032,8740,8205,16945
2033,8674,8163,16837
2034,8604,8120,16724
2035,8539,8084,16623
2036,8470,8042,16512
2037,8398,8000,16398
2038,8317,7953,16270
2039,8234,7900,16134
2040,8147,7844,15991
2041,8058,7784,15842
2042,7963,7718,15681
2043,7864,7647,15511
2044,7765,7574,15339
2045,7672,7505,15177
2046,7572,7438,15010
2047,7471,7370,14841
2048,7369,7295,14664
2049,7268,7220,14488
2050,7168,7143,14311
2051,7067,7067,14134
2052,6968,6989,13957
2053,6862,6908,13770
2054,6756,6827,13583
2055,6658,6747,13405
2056,6561,6667,13228
2057,6464,6589,13053
2058,6368,6512,12880
2059,6271,6427,12698
2060,6172,6342,12514
2061,6077,6260,12337
2062,5982,6176,12158
2063,5889,6094,11983
2064,5796,6010,11806
2065,5708,5928,11636
