year,male,female,total
2019,19017,18359,37376
2020,19031,18413,37444
2021,19046,18456,37502
2022,19050,18488,37538
2023,19052,18519,37571
2024,19043,18548,37591
2025,19036,18578,37614
2026,19022,18594,37616
2027,19003,18601,37604
2028,18971,18601,37572
2029,18933,18598,37531
2030,18887,18587,37474
2031,18827,18566,37393
2032,18759,18540,37299
2033,18685,18508,37193
2034,18602,18463,37065
2035,18524,18430,36954
2036,18446,18390,36836
2037,18353,18345,36698
2038,18253,18291,36544
2039,18143,18231,36374
2040,18022,18160,36182
2041,17897,18087,35984
2042,17767,18005,35772
2043,17629,17906,35535
2044,17485,17808,35293
2045,17353,17718,35071
2046,17216,17622,34838
2047,17072,17518,34590
2048,16924,17409,34333
2049,16769,17287,34056
2050,16607,17161,33768
2051,16440,17021,33461
2052,16266,16875,33141
2053,16089,16725,32814
2054,15910,16568,32478
2055,15743,16423,32166
2056,15571,16271,31842
2057,15391,16115,31506
2058,15204,15952,31156
2059,15012,15786,30798
2060,14824,15611,30435
2061,14626,15433,30059
2062,14428,15253,29681
2063,14228,15069,29297
2064,14024,14881,28905
2065,13830,14706,28536
