year,male,female,total
2019,4925,4409,9334
2020,4891,4388,9279
2021,4861,4369,9230
2022,4828,4348,9176
2023,4791,4324,9115
2024,4752,4298,9050
2025,4717,4276,8993
2026,4677,4256,8933
2027,4637,4231,8868
2028,4596,4204,8800
2029,4552,4179,8731
2030,4508,4148,8656
2031,4457,4114,8571
2032,4408,4076,8484
2033,4355,4034,8389
2034,4302,3993,8295
2035,4253,3958,8211
2036,4204,3921,8125
2037,4154,3884,8038
2038,4100,3846,7946
2039,4044,3805,7849
2040,3982,3763,7745
2041,3917,3719,7636
2042,3854,3675,7529
2043,3790,3630,7420
2044,3725,3584,7309
2045,3663,3542,7205
2046,3598,3500,7098
2047,3535,3456,6991
2048,3470,3409,6879
2049,3408,3361,6769
2050,3349,3315,6664
2051,3288,3264,6552
2052,3228,3212,6440
2053,3168,3162,6330
2054,3108,3113,6221
2055,3056,3067,6123
2056,3001,3018,6019
2057,2944,2969,5913
2058,2884,2922,5806
2059,2828,2871,5699
2060,2772,2820,5592
2061,2719,2772,5491
2062,2666,2724,5390
2063,2614,2678,5292
2064,2562,2631,5193
2065,2515,2587,5102
