year,male,female,total
2019,9041,8230,17271
2020,8990,8203,17193
2021,8943,8177,17120
2022,8888,8147,17035
2023,8830,8111,16941
2024,8770,8075,16845
2025,8717,8043,16760
2026,8658,8006,16664
2027,8591,7970,16561
2028,8523,7927,16450
2029,8453,7881,16334
2030,8380,7835,16215
2031,8304,7784,16088
2032,8223,7732,15955
2033,8140,7678,15818
2034,8057,7622,15679
2035,7977,7569,15546
2036,7892,7516,15408
2037,7799,7461,15260
2038,7708,7399,15107
2039,7609,7331,14940
2040,7505,7258,14763
2041,7401,7183,14584
2042,7294,7105,14399
2043,7180,7024,14204
2044,7066,6942,14008
2045,6958,6867,13825
2046,6852,6788,13640
2047,6742,6706,13448
2048,6631,6621,13252
2049,6521,6533,13054
2050,6409,6445,12854
2051,6296,6357,12653
2052,6184,6267,12451
2053,6076,6180,12256
2054,5969,6090,12059
2055,5871,6008,11879
2056,5774,5927,11701
2057,5677,5845,11522
2058,5584,5763,11347
2059,5492,5682,11174
2060,5402,5601,11003
2061,5315,5521,10836
2062,5228,5443,10671
2063,5142,5366,10508
2064,5059,5293,10352
2065,4979,5218,10197
