year,male,female,total
2019,3641,3037,6678
2020,3597,3017,6614
2021,3558,2998,6556
2022,3520,2981,6501
2023,3484,2962,6446
2024,3450,2942,6392
2025,3421,2923,6344
2026,3388,2903,6291
2027,3353,2882,6235
2028,3316,2861,6177
2029,3278,2839,6117
2030,3240,2817,6057
2031,3200,2797,5997
2032,3159,2774,5933
2033,3115,2750,5865
2034,3071,2729,5800
2035,3032,2710,5742
2036,2988,2688,5676
2037,2944,2662,5606
2038,2900,2632,5532
2039,2856,2602,5458
2040,2810,2573,5383
2041,2762,2539,5301
2042,2713,2504,5217
2043,2663,2471,5134
2044,2614,2440,5054
2045,2570,2406,4976
2046,2523,2376,4899
2047,2476,2344,4820
2048,2429,2314,4743
2049,2384,2283,4667
2050,2342,2249,4591
2051,2299,2214,4513
2052,2255,2180,4435
2053,2213,2147,4360
2054,2173,2115,4288
2055,2136,2087,4223
2056,2098,2057,4155
2057,2059,2025,4084
2058,2018,1995,4013
2059,1978,1966,3944
2060,1939,1936,3875
2061,1900,1906,3806
2062,1861,1874,3735
2063,1819,1840,3659
2064,1778,1810,3588
2065,1745,1783,3528
