year,male,female,total
2019,9023,8134,17157
2020,8981,8122,17103
2021,8941,8113,17054
2022,8899,8104,17003
2023,8863,8093,16956
2024,8822,8077,16899
2025,8785,8069,16854
2026,8748,8056,16804
2027,8707,8040,16747
2028,8663,8020,16683
2029,8616,8000,16616
2030,8566,7978,16544
2031,8512,7951,16463
2032,8453,7921,16374
2033,8390,7883,16273
2034,8321,7846,16167
2035,8256,7810,16066
2036,8183,7772,15955
2037,8104,7729,15833
2038,8020,7678,15698
2039,7935,7622,15557
2040,7845,7562,15407
2041,7751,7499,15250
2042,7655,7433,15088
2043,7552,7365,14917
2044,7445,7299,14744
2045,7347,7236,14583
2046,7249,7167,14416
2047,7144,7094,14238
2048,7036,7020,14056
2049,6928,6939,13867
2050,6820,6854,13674
2051,6714,6771,13485
2052,6607,6686,13293
2053,6499,6603,13102
2054,6390,6519,12909
2055,6289,6444,12733
2056,6189,6364,12553
2057,6090,6282,12372
2058,5994,6200,12194
2059,5896,6117,12013
2060,5800,6030,11830
2061,5706,5945,11651
2062,5613,5860,11473
2063,5520,5776,11296
2064,5432,5690,11122
2065,5346,5613,10959
