統計年月,代碼,區域,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女
2015-10,65000,新北市,590,934,380,554,-111,-87,223,123,-454,-369,342,344,186,177,-167,-169,-106,-91,-149,-168,196,147,22,48,-100,-52,-153,-66,-125,-150,122,-1,-542,-565,248,305,280,299,-573,-644,-39,26,-106,-188,116,57,-8,78,-87,-36,-21,-113,-88,136,226,-48,-448,-403,531,552,81,-87,-437,-421,-209,-234,-36,-107,-175,-177,-192,-141,-135,-205,-38,55,36,-95,165,239,-541,-533,693,669,220,287,-138,-155,-24,-95,84,71,-246,-113,1,-163,217,124,-17,250,-174,-433,95,15,-40,26,170,177,-137,-130,-155,21,-17,14,91,26,115,56,233,163,-46,218,-17,-147,11,-156,100,302,33,-28,48,124,191,305,313,438,80,-147,160,391,105,66,409,527,-165,-223,-84,-125,119,120,44,-19,-43,6,48,102,116,34,36,72,65,46,40,126,-17,-19,67,91,-101,18,11,-23,0,44,-2,8,34,46,0,4,47,-12,10,46,15,4,11,19,6,18,-7,10,21,7,10,2,6,19,4,-16,-1,4,5,0,-7,6
2015-10,6500100,新北市板橋區,-27,-62,-61,-1,-24,-7,2,40,-45,-83,43,54,37,2,-24,7,-14,-32,-41,-20,41,42,-47,12,25,-26,-30,-1,4,-40,-4,8,-53,-85,36,41,72,66,-111,-77,-14,-12,-19,-28,24,11,14,7,-8,-6,-30,-48,-16,48,25,-22,-60,-33,58,56,3,-66,-77,-20,-33,-62,-9,-10,-27,37,-82,-107,13,-28,-10,3,-3,1,52,6,-93,-28,114,31,21,129,17,-40,-43,-1,39,-14,22,25,-7,-42,-19,69,45,0,-43,-65,30,32,-13,-26,37,14,-45,-6,28,-9,-58,-5,-5,-40,37,47,20,33,-36,-1,-13,-28,30,-40,-25,50,34,-13,-1,19,8,30,71,72,-14,-27,19,65,-9,-7,78,88,-13,-43,-22,11,-12,-6,40,16,17,-22,1,37,21,-5,-3,18,15,1,9,11,-9,6,11,-2,-6,7,-7,-14,4,16,6,10,-13,8,8,-1,-6,-4,11,-5,-5,10,-1,1,6,4,-7,5,8,-1,0,-2,1,5,-4,-3,0,0,1,-1,-6,2
2015-10,6500200,新北市三重區,62,-77,-84,7,6,7,7,-15,-37,-15,15,36,22,7,-7,-25,-19,-1,-18,-28,19,31,12,6,-35,-18,-13,3,5,-24,3,0,-56,-48,-19,26,76,16,-86,-45,-7,-1,13,-14,-16,5,2,-24,-49,5,2,2,25,-9,10,18,-46,-81,23,63,26,14,-63,-64,2,-22,-26,3,-10,-60,-39,31,1,1,11,18,-11,-18,13,24,-54,-74,97,82,-5,8,-5,8,7,-6,15,-16,-50,-27,14,27,34,0,-9,24,-7,-35,31,-22,12,-11,-24,16,1,7,-37,-53,13,54,-24,-35,-30,16,58,9,-1,45,-23,-55,-19,-17,48,24,-2,-3,-19,20,41,43,0,61,10,-25,43,37,-8,-15,48,71,-35,-22,-16,-22,34,33,0,-6,-15,-6,15,11,-4,-9,16,2,-7,32,9,-6,0,-1,6,10,3,17,2,2,9,-4,1,8,2,7,-8,-1,13,-3,-9,-3,4,5,3,4,2,-3,-3,-1,1,-3,2,4,-1,1,-1,1,2,0,-1,-1,1,-1
2015-10,6500300,新北市中和區,9,-52,-19,-33,-55,-28,63,25,-53,-59,18,53,19,14,-11,-10,-22,-21,16,-3,-11,-3,10,11,18,5,-29,7,-18,-30,36,14,-93,-76,40,40,47,44,-59,-56,-9,5,-52,-1,28,-17,15,-13,-26,10,10,-23,-32,39,17,-46,-21,-46,36,61,6,-36,-45,-17,-53,-30,-6,-21,20,-32,-54,-44,5,7,15,9,-10,-6,-21,21,-21,-48,65,39,31,50,-57,21,35,-58,27,-14,-64,5,20,6,38,15,6,-8,-20,-36,-34,9,35,17,29,3,-39,-21,-29,-28,19,23,14,-27,6,-11,10,48,13,11,-36,-33,24,-25,-23,8,17,-6,4,42,26,33,9,26,30,10,7,25,27,38,28,45,7,-32,-10,-1,27,14,-4,3,-7,-4,5,41,16,-11,-4,0,12,19,6,12,-5,0,1,-3,-18,7,15,-12,-17,15,7,-7,-10,5,1,-4,8,13,7,-8,-6,5,4,-2,7,6,-4,0,2,3,0,1,4,4,1,-4,0,-1,1,2,-1,0
2015-10,6500400,新北市永和區,11,-26,-4,-22,10,-3,4,-7,-16,-15,11,11,-2,25,-14,-23,-2,-26,-6,-4,15,35,2,1,-19,-9,11,2,-31,-21,13,1,-26,-30,-5,20,33,1,-40,-38,4,20,-9,-21,0,27,17,10,5,-38,5,28,-1,15,6,-22,-42,-3,52,18,-26,-6,-13,-4,-7,-16,6,-7,-34,-21,16,0,-21,-17,1,-21,-22,11,22,-18,-45,-42,49,58,-11,-4,-13,-12,42,3,-42,-15,23,3,-15,-15,-5,14,3,16,9,-23,-4,-10,-5,-2,13,9,-13,-20,-30,30,-2,5,21,-15,-12,3,20,-17,-7,19,5,-26,-9,-6,7,21,24,18,-18,-21,-3,10,23,51,14,-20,-8,31,41,16,14,14,14,-5,-11,-2,9,-3,11,3,-15,13,9,-10,20,1,-10,4,3,26,1,-11,4,3,-2,10,-17,1,11,5,-12,-6,13,6,-11,4,21,-3,-8,0,-6,8,9,1,-5,4,1,-5,-3,2,6,2,0,1,4,1,1,-4,-3,1,2,1,-3,2
2015-10,6500500,新北市新莊區,87,128,92,36,-22,-28,49,34,-79,-48,30,10,37,38,-34,-41,15,-1,-23,-35,38,38,-22,3,10,-9,-43,-8,3,-28,34,28,-71,-71,6,5,45,56,-67,-84,-9,27,-27,-32,27,17,17,14,-30,1,9,-13,-28,-2,42,14,-71,-54,73,60,-1,4,-37,-68,-62,-52,33,14,-9,-21,-14,-26,-27,-43,-2,-16,18,20,-7,37,-27,-45,64,63,12,30,18,-17,21,33,1,23,-33,-29,-9,-62,58,65,-3,40,-21,-78,-4,-19,-7,28,20,11,-7,-13,-19,8,-22,1,50,42,-20,-26,4,12,55,51,-12,-20,-2,-21,-8,20,9,6,-23,12,48,46,19,0,3,23,24,40,-10,3,88,31,-51,4,11,-28,20,31,-2,-14,-19,-5,15,20,15,-4,22,10,-11,16,7,5,2,-12,-2,11,-1,0,6,-2,-1,-5,0,5,4,4,11,6,-8,-5,-3,6,6,-2,2,1,0,3,-1,-2,0,-1,2,-2,-2,2,2,-5,-1,2,1,-2,0,1
2015-10,6500600,新北市新店區,24,105,63,42,15,-15,-6,18,-13,-27,26,26,-2,4,-13,-10,15,-2,-12,-3,-3,-20,20,-1,-7,16,0,-9,-4,13,-16,-3,-2,-43,4,11,-15,36,-26,-65,13,3,-6,-24,2,17,0,-12,14,19,-22,12,7,-15,25,-10,-41,-9,63,17,-13,17,-18,-45,-17,4,-4,-1,-20,-16,-2,28,-36,-24,13,-19,15,1,-11,13,-44,-45,39,67,38,-15,-47,-36,-19,-10,20,-12,-34,14,-4,-26,13,-20,15,43,-3,-43,38,33,-71,-9,46,5,-58,-17,36,6,-4,-16,-11,28,15,-16,38,5,-23,10,2,-17,15,22,21,13,-10,15,-3,7,11,18,39,27,17,-17,14,41,20,9,9,51,-4,-6,-9,-20,12,20,1,-11,-2,6,8,-3,13,24,-6,16,17,-11,-10,19,8,-7,-6,14,-9,-1,-18,-4,17,3,-15,2,19,-2,-22,-7,17,11,9,-1,-4,-3,6,-3,-10,7,3,0,8,-2,-2,4,-1,-3,4,0,0,3,1,0,0,0
2015-10,6500700,新北市樹林區,-6,23,11,12,-23,2,21,14,-33,-39,27,36,6,-3,17,9,-22,-14,-28,-7,23,8,9,-20,10,8,-26,-6,-13,-8,20,17,-48,-35,19,23,12,-8,-38,-21,2,-8,21,-4,-21,-20,12,24,-12,20,-10,-46,6,12,-2,-7,-7,-24,11,43,12,-15,-13,-18,-7,-18,-3,-17,-5,10,-25,-14,6,14,-10,-16,47,-20,-13,44,-15,-54,40,61,-6,20,-24,-14,9,16,-1,-7,10,-15,-12,3,11,-5,19,27,-34,-29,-4,21,2,-32,4,26,22,-18,-24,-1,-20,21,3,-30,14,18,26,23,-8,-4,-4,12,-3,-28,10,28,-21,1,34,0,-4,14,27,22,3,2,-1,-3,5,22,3,11,6,-14,-2,-3,7,6,-4,-11,9,-4,-11,12,6,8,1,-2,3,-1,5,1,2,-1,10,13,-18,-2,9,-6,0,0,6,7,-1,-5,-2,1,0,1,4,6,-6,-1,5,-2,-2,3,0,0,-1,2,-1,-1,2,1,1,0,0,-2,0,2,0,0
2015-10,6500800,新北市鶯歌區,2,-57,-39,-18,-17,-4,12,-6,-9,-20,13,21,4,-7,-1,-3,-6,2,-6,-5,4,-10,-5,9,-1,3,-11,-12,8,-4,-5,15,-18,-27,14,7,0,12,-15,-18,-6,-9,3,2,-1,-3,1,-8,1,11,-7,-12,-19,16,20,-5,-8,-26,-4,32,6,-6,-21,-8,16,-11,-4,-5,-18,-26,-4,24,18,-12,-30,9,17,0,9,5,-14,0,3,2,31,2,-14,17,-9,-17,14,11,-36,-10,-4,-18,17,13,5,-1,-17,5,16,4,-4,5,14,-5,-15,5,-3,6,-8,-25,17,19,-22,-4,32,1,-21,8,11,4,-2,-9,1,24,5,-27,11,6,-13,5,14,29,-7,-12,21,3,-3,5,9,8,-5,-4,-2,4,-6,1,12,-2,-4,-5,-4,-2,14,9,-6,0,-2,-6,2,6,-1,7,5,0,-4,-9,4,2,-9,5,7,2,-5,0,0,1,3,-4,0,2,3,0,-3,1,2,-2,0,0,0,0,1,2,0,-1,0,0,0,0,0,0,0,0
2015-10,6500900,新北市三峽區,60,122,65,57,6,-2,15,9,-23,0,21,-1,-5,7,-8,-7,-13,14,1,3,11,-17,-2,-11,-1,16,1,-14,-3,-9,-13,-11,-12,-3,25,21,4,6,-35,-21,10,0,11,-10,-4,-2,-23,11,13,-14,11,-11,4,18,-23,-6,11,4,19,-2,-2,10,3,-7,-1,-10,-17,17,6,6,-5,-22,-3,-14,3,22,-14,-1,13,5,1,-22,6,20,6,-8,-8,-1,-4,5,16,-5,-21,6,14,-12,-1,17,-16,-9,-2,-10,-1,-8,0,25,7,2,4,-9,5,9,-1,1,-7,5,18,12,25,-9,-25,11,22,-2,-6,11,21,7,-12,0,6,3,2,4,13,12,4,-3,-9,8,19,-5,-2,18,-6,-16,-2,2,3,5,-1,5,5,3,0,2,-16,-9,21,-8,-4,8,-2,7,6,2,1,2,-1,3,-6,-2,4,1,-11,-3,12,6,2,-2,2,-3,-5,-1,0,6,2,-1,-2,4,6,-1,0,-2,1,3,0,0,0,0,0,-1,-1,1,2,-1
