統計年月,代碼,區域,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女
2015-09,65000,新北市,312,1438,452,986,-173,-117,351,280,-633,-470,477,339,273,248,-342,-284,-2,-16,-87,-126,-82,-19,166,106,-198,-158,-75,116,91,-22,-263,-92,-416,-565,427,448,127,5,-600,-493,132,-5,-129,-172,44,221,-143,-191,-46,30,165,10,-316,-158,301,297,-302,-475,397,347,72,169,-343,-424,-458,-447,185,39,-435,-482,70,-57,0,58,-391,-427,253,299,253,305,-745,-622,873,880,-155,-291,132,239,147,161,-183,-204,-23,26,-46,-7,47,-64,306,262,-200,-269,-111,-92,115,248,-333,-404,304,183,48,191,-180,-226,244,303,37,-19,-101,-29,488,731,-431,-694,206,206,-4,225,69,-52,42,98,230,344,318,353,124,119,132,153,155,152,511,574,-395,-420,-4,-27,213,254,-120,-121,105,112,45,65,41,66,81,59,-14,19,70,92,10,4,-11,84,-37,-32,-24,12,18,89,-34,1,10,-54,0,64,12,-7,51,55,9,24,-13,-21,31,31,4,10,19,33,10,-10,-2,2,4,12,-3,-7,11,7,-1,-2
2015-09,6500100,新北市板橋區,-63,-50,-37,-13,-12,-36,54,46,-88,-67,49,43,53,43,-47,-19,0,-2,-18,-45,-5,-7,21,17,-23,-6,-30,20,13,-32,-5,25,-69,-124,33,99,26,14,-61,-41,20,-40,-29,15,-13,29,7,-27,-26,-3,59,-33,-104,-11,30,-13,-32,-29,84,41,-34,11,-29,-57,-78,-89,10,10,-71,-94,-6,-3,37,-12,-103,2,36,-27,30,37,-83,-77,184,102,-83,-27,62,51,-35,51,-6,-39,-4,-16,-3,26,47,-12,36,52,-18,-58,-2,15,-8,21,-70,-51,87,-33,-45,50,-31,-21,47,10,-17,-33,-9,-12,41,107,-79,-121,53,50,-12,5,12,-46,-42,51,43,50,63,71,24,5,26,-17,2,58,97,87,-67,-62,-20,11,40,11,0,-20,14,19,8,27,4,2,13,4,-2,26,10,-23,0,17,-5,23,-4,-11,8,-2,-15,18,16,-8,4,7,-5,-6,-1,10,8,5,-8,1,-2,-4,-2,4,8,6,-1,-5,7,1,-1,-2,2,6,-2,-1,1,0,-1,-1
2015-09,6500200,新北市三重區,16,94,31,63,20,5,0,27,-53,-60,56,50,36,26,-47,-21,-6,-12,14,-21,-11,9,10,-7,-31,1,20,25,-2,1,-10,-17,-67,-79,34,53,37,22,-63,-58,-14,13,-3,-55,2,69,18,-72,-8,39,-2,-14,-32,-37,30,27,-61,-51,50,55,8,-24,-48,-49,-44,0,16,-40,-82,-29,43,-9,2,-1,-19,-57,26,31,24,34,-88,-28,124,78,-38,-15,4,-7,39,11,-9,-6,-51,21,41,24,-38,-23,63,46,-26,-23,-17,-39,8,23,-3,-71,2,53,17,5,10,-13,-21,21,-1,12,-13,-33,48,100,-23,-84,-13,35,-6,27,50,-27,-11,-7,3,49,73,18,-19,32,3,30,19,-8,62,69,-41,-68,-39,21,47,24,-5,-15,1,6,3,7,3,7,23,-7,-18,8,13,-4,-11,10,11,4,-4,-2,8,13,0,6,7,-5,-1,-2,-6,7,-5,-3,8,5,4,5,-7,-6,7,-2,-3,7,5,4,1,-4,-1,3,-1,-1,-1,2,1,0,0,-1
2015-09,6500300,新北市中和區,-10,-62,-59,-3,-37,-20,55,13,-44,-47,16,26,15,51,-2,-52,16,1,-17,-10,-31,27,16,-18,-13,-6,-16,-18,4,29,-33,11,-22,-64,23,40,23,-37,-21,-17,-22,-52,-18,1,6,35,-23,-38,-5,-15,11,11,-30,5,-5,32,-31,-83,40,57,11,21,-44,-72,-106,-60,71,55,-69,-49,3,-14,-19,10,-36,-92,48,44,26,46,-56,-79,73,128,-33,-48,2,30,35,8,-41,-69,36,46,-9,-23,-4,-3,56,62,-50,-50,18,-12,7,-17,-27,-35,17,22,-1,39,-64,-58,52,37,26,6,-13,-36,37,85,-46,-50,12,-40,-7,50,-6,-3,11,21,6,30,84,28,-15,32,9,-26,9,29,62,70,-27,-1,-6,-41,32,40,-16,-12,20,9,-9,35,38,-27,-5,13,-6,16,6,19,-8,-10,-6,17,-11,5,-12,-22,16,20,-2,7,4,-22,-9,9,8,1,-3,17,1,-2,7,-1,0,1,5,-2,0,7,3,-2,1,-1,-2,1,-1,-1,3,2,0,-3
2015-09,6500400,新北市永和區,-27,-154,-106,-48,-20,5,21,3,-53,-35,32,31,11,6,-3,-11,-11,-11,-21,12,-4,-7,13,27,-16,-35,20,0,-43,4,19,-9,-16,-49,17,22,1,9,-34,-36,20,-7,-44,-2,32,11,-7,15,-7,-5,-1,10,14,-10,-1,3,-6,-26,-10,9,36,0,-62,-32,2,-10,9,25,-19,-54,2,1,-20,-9,-9,-20,-12,29,20,23,-32,-29,20,13,-35,-13,25,-4,0,7,-4,10,5,-5,-21,-24,13,1,-12,19,-8,7,-6,-32,39,17,-56,-5,19,7,4,-6,-33,-45,51,33,-11,28,1,-11,-4,-2,-22,-36,32,16,-18,-30,-17,25,16,20,16,16,-7,22,38,-9,-6,22,30,-1,18,41,-14,-39,-2,19,16,7,-16,1,21,15,-5,-26,-2,19,3,-2,4,7,16,6,-1,-5,-9,10,-3,0,-4,0,2,6,-12,1,7,-11,5,6,-3,2,6,-2,0,2,1,4,-1,0,-5,-2,5,5,-2,-3,3,1,-2,4,3,-2,0,-1,-2,1
2015-09,6500500,新北市新莊區,47,268,121,147,11,-35,36,36,-60,-32,32,5,61,58,-78,-40,-6,-24,4,8,-6,-10,10,5,-24,-12,-9,32,14,-16,-39,-12,-46,-45,63,45,-7,10,-66,-110,42,56,-13,-18,-29,-18,-17,10,19,1,-1,-22,11,8,7,11,-44,-88,46,70,-3,39,-49,-63,-33,-12,32,-4,-18,-100,-15,23,21,-17,-75,9,34,22,28,40,-83,-76,82,100,-6,-20,35,37,39,25,-37,-22,19,11,20,-33,0,9,13,52,6,-56,-33,1,19,34,-39,-6,56,-46,-34,50,-3,-45,17,43,9,6,-3,2,64,72,-46,-67,14,41,-8,14,29,-6,-16,-3,34,56,1,42,31,19,21,15,17,-1,54,63,-58,-33,16,-1,36,7,-31,6,18,14,4,-9,0,10,16,20,2,-8,5,13,-3,3,-4,-4,-5,3,11,-3,-2,9,-2,2,-5,-6,5,2,3,1,2,2,-2,-1,4,0,4,0,-1,2,1,-3,2,-1,-3,1,3,0,0,0,0,-1,0,1
2015-09,6500600,新北市新店區,-9,199,59,140,-33,11,38,14,-34,-20,31,28,8,-17,-24,-8,11,-13,-23,-13,3,4,29,-2,-29,10,-15,-18,16,12,-33,-16,10,-21,6,19,-2,-10,-45,-21,6,8,-13,-32,37,8,-28,-8,-21,-5,-5,-7,11,-7,39,69,-34,-53,49,23,-30,7,0,-11,-20,-25,-26,1,-6,-19,10,-21,-21,10,10,3,-16,15,34,-8,-57,-45,46,62,1,-19,-11,-17,-3,30,-12,-17,15,-24,-49,1,19,14,27,-5,-8,11,-5,-19,21,26,-25,-58,-15,48,42,12,-27,-29,27,50,20,4,-36,-17,47,55,-54,-59,20,6,5,28,-6,18,31,-4,14,20,43,38,11,-15,12,38,31,5,10,58,-10,-30,-27,-14,37,59,-22,-33,26,6,-1,16,13,14,11,-1,-6,-8,12,18,2,5,-2,3,-5,-6,3,2,-15,8,6,7,-7,-3,3,3,-12,-7,19,-5,-1,16,1,-5,6,11,-6,-8,3,7,3,0,1,2,1,-1,0,0,0,1,2,0
2015-09,6500700,新北市樹林區,29,161,94,67,-4,3,23,6,-69,-46,52,39,14,26,-7,-29,2,14,-7,-7,12,13,0,1,-5,-2,1,8,19,0,-16,-9,-28,-32,23,9,-2,1,-12,-10,3,8,0,-35,-17,38,-17,-25,11,9,2,3,-26,-36,20,16,11,5,-8,-1,12,3,1,-14,-40,-35,18,-10,-19,2,-5,-18,9,32,-2,10,-7,-7,-8,15,-13,-49,60,55,-3,-15,7,16,-1,-12,15,8,1,12,15,-16,-30,25,27,-2,-7,-34,-9,10,-17,17,-21,-29,24,15,14,6,-5,-16,22,-1,-11,14,-23,-15,26,37,-5,-45,-1,51,25,3,3,-9,-13,17,4,5,15,16,23,8,-3,15,13,-2,10,17,-3,-5,3,-11,0,9,8,-3,-12,6,8,1,12,-3,-20,9,16,-2,-5,6,1,6,4,-12,-6,6,4,0,5,5,-4,3,2,-1,0,-1,3,1,-3,2,3,-5,-5,0,6,7,2,1,-1,1,0,0,0,1,-1,-2,1,1,0,0,0,0
2015-09,6500800,新北市鶯歌區,29,-51,-34,-17,-31,5,17,-2,-27,-11,24,5,1,6,-18,-16,19,1,-20,6,13,-12,-2,8,5,-16,-19,22,6,-17,4,-9,-18,0,22,-2,6,-4,-26,-2,12,-9,-32,15,42,4,-21,-20,-4,6,16,1,-23,-5,13,2,-6,-14,13,14,-4,0,-14,0,-3,-18,5,-3,-18,-17,2,-4,17,15,-25,-23,10,11,5,15,-28,-7,30,1,-4,1,4,18,5,-6,-1,13,-18,-13,12,-5,4,-4,5,15,-6,0,-8,-6,0,11,-9,-19,20,3,-6,-5,-4,0,2,6,-11,14,-9,-9,29,10,-15,-1,-4,5,12,-2,-7,-8,1,12,21,1,-9,19,1,-5,19,7,-9,-7,9,10,-5,-5,4,-2,1,1,0,-2,-8,5,0,2,1,2,6,-2,2,-2,-3,5,2,-2,-6,0,7,1,-2,4,5,-2,-6,-1,1,-4,-1,1,1,0,-2,0,1,2,0,1,-1,-1,1,2,0,-1,1,0,0,-1,-1,2,1,0,0,-1,0,0
2015-09,6500900,新北市三峽區,16,87,33,54,-6,-4,2,20,-18,-4,26,3,-6,-8,-5,-1,1,2,-7,1,3,-6,15,13,-22,-13,-8,1,23,3,-12,-9,-25,-10,32,-1,2,5,-16,-1,-12,3,16,-9,-15,-5,-4,19,18,-16,10,10,-30,-4,33,10,-27,-10,11,11,11,4,1,-3,-16,-6,12,-21,-9,11,1,-23,-1,23,-6,-31,7,0,17,13,-29,-17,14,16,1,-11,3,12,5,-1,1,-2,-9,-2,3,8,-1,9,14,-12,-23,-8,6,8,-16,8,7,-14,17,28,0,5,21,2,-35,-5,12,2,-9,-6,22,11,-3,-15,9,14,-3,11,-4,-5,22,-9,-29,9,21,27,8,-7,0,-2,5,15,20,5,-13,1,2,-21,3,20,-6,-12,-9,0,14,4,-11,6,5,4,4,-6,-8,0,6,7,-6,-4,0,3,0,2,1,3,-6,-1,3,3,6,3,-10,-9,8,3,2,1,3,1,1,2,-2,4,1,0,-1,0,1,-2,0,1,0,0,0,-1,-1,1
