統計年月,縣市代碼,區域,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女
2015-06,cityname,新北市板橋區,81,-261,-156,-105,3,-17,-1,44,-20,-49,-7,28,33,33,-9,-48,19,27,-16,-17,-1,25,-3,-14,-11,-14,-14,11,-54,-12,38,-50,-77,-8,49,-20,10,0,-53,-14,-2,-28,-24,-5,-3,4,23,-22,-61,-1,18,4,-47,-6,24,-10,-25,-41,14,49,5,-45,-29,-96,-70,-4,15,36,-44,-102,-105,28,63,-20,-29,22,21,-35,15,29,-38,-11,96,45,23,35,5,-36,-5,22,13,20,-14,-22,5,11,0,7,6,26,17,-6,-15,2,26,-29,-7,3,23,-20,-7,-13,-37,0,-20,-35,17,-41,39,65,-63,-37,20,-6,8,73,-12,-37,61,29,-35,-27,71,97,-19,25,3,14,20,-39,19,39,19,35,-18,-38,3,6,-5,4,30,11,-18,-2,24,10,-10,12,17,-12,3,23,-15,-14,-6,16,-2,-4,1,12,-1,-5,-11,4,-7,10,-3,5,4,-5,2,5,4,-2,-3,0,-4,5,-3,-2,1,0,0,1,-4,4,2,1,-3,-2,4,1,0,-2,-2,2
2015-06,cityname,新北市三重區,34,-52,-71,19,16,-21,-13,14,-7,-46,-10,26,31,37,-18,-39,5,24,2,1,-11,1,-2,-18,-22,19,33,-18,-38,-25,5,13,-37,-10,66,-20,-5,19,-1,-25,-9,-5,-33,14,37,-3,-31,-2,-28,8,0,-16,-14,2,16,-15,-19,-48,-2,40,15,3,-32,-27,-22,-33,-15,-37,-17,-12,-35,10,-23,-15,18,-3,-14,4,6,31,-32,-3,78,25,-22,-2,45,32,-13,-23,-24,42,-25,-16,27,15,-35,-3,32,-2,25,-9,-17,-25,13,11,-15,-6,40,16,-27,-1,-6,39,3,-43,-56,-4,61,50,16,4,-38,0,25,-8,3,-3,32,7,-45,-3,71,38,0,19,-5,-4,8,26,18,5,-16,-3,1,-5,1,-8,-3,-1,2,18,-7,-1,14,-1,2,-9,-9,-13,10,34,-8,-16,5,20,-2,-1,10,-1,-12,-12,6,15,5,1,-6,2,3,3,-3,-10,-3,7,6,1,4,5,0,-4,1,-2,1,-2,-2,-2,0,1,0,2,1,-2,-2,1,1,0
2015-06,cityname,新北市中和區,74,76,-36,112,-3,0,-8,13,-10,-33,-14,27,69,4,-45,-2,21,-9,2,-4,-16,9,6,11,-25,-20,-5,32,39,-15,10,14,-61,-48,62,80,-7,-18,-46,-30,14,5,9,28,6,-24,-29,18,-9,-7,46,37,-42,-53,26,-3,-46,-23,35,4,0,-10,-91,0,20,-17,-4,-20,-39,-78,2,52,7,-43,-62,20,39,-27,9,20,-36,-8,53,22,10,35,-20,-10,27,-4,-23,13,-60,-5,43,20,29,-3,3,57,9,-3,33,-4,-16,-7,-17,9,-8,-20,-9,6,3,-26,-20,11,17,-76,8,74,-13,-3,-19,-47,3,34,-13,-26,34,38,-27,-28,67,77,-9,10,18,5,5,8,21,8,6,5,-20,-6,5,4,9,-11,16,41,11,-11,16,29,-16,-10,-2,-1,9,6,-13,14,8,-11,-9,-3,0,13,-5,-1,-17,4,6,6,-6,2,14,-2,3,-6,-18,4,8,3,-6,2,8,-4,-4,2,2,-1,2,0,4,-2,-4,0,1,-2,3,1,0,0
2015-06,cityname,新北市永和區,-66,-410,-199,-211,7,21,18,2,-16,-34,-14,6,18,27,-25,-1,6,-10,-5,1,-4,7,-19,-25,2,-10,26,14,-40,-37,2,10,-50,-47,24,-5,-11,8,-17,-23,8,8,-22,-9,-7,2,12,-36,10,7,0,-5,-20,7,8,12,-6,-25,6,26,-14,-21,20,9,-45,-13,-5,-20,12,10,-41,1,7,-47,-25,-25,18,15,20,11,-30,-36,38,19,-23,3,15,-36,-16,16,-8,12,-8,-23,19,-6,-14,-7,-21,-19,29,9,-30,13,-1,-33,-31,22,26,-19,10,-16,-13,13,12,16,-7,-5,-14,-37,8,30,-5,-9,-2,10,-2,-13,16,-2,-36,-11,36,47,-4,9,5,-22,2,-2,10,43,9,-2,-2,-8,8,16,0,-4,-1,10,-2,-21,11,22,-3,-10,-4,8,7,1,-3,-3,-2,13,3,-12,-5,6,2,1,-10,-4,-1,-7,-1,2,-2,0,-5,4,9,-1,4,0,-9,0,7,-3,-8,5,1,-1,2,1,-4,-2,2,0,0,1,0,0,-1,0
2015-06,cityname,新北市新莊區,149,-2,-16,14,5,9,-12,25,-11,-56,34,0,26,44,-26,-50,-16,21,-21,-6,33,28,-5,-5,2,-2,2,-24,-25,-12,-7,14,-57,-58,32,40,1,32,-38,-87,-10,10,-23,13,4,4,-35,10,23,-27,-42,-3,-6,-43,82,34,-77,-51,6,-4,48,39,-64,-28,17,-74,-68,5,1,-25,-49,-11,30,-15,22,-19,-12,35,-13,6,-6,-16,71,65,-4,-9,43,13,-19,36,-32,-37,41,39,-13,20,26,-6,0,-22,16,20,-6,0,-6,-13,-27,-27,-1,21,7,0,8,5,2,-17,-7,24,28,36,-21,-54,2,16,13,23,21,-28,13,54,-39,-6,97,33,-9,24,-23,0,26,-10,-2,36,11,-2,-11,0,14,-13,-9,5,20,12,-2,11,21,-2,-8,1,6,4,-6,2,-2,2,8,-8,-6,7,13,7,-10,-1,0,1,0,-2,-3,-2,0,-1,1,2,1,-2,-7,6,4,0,0,0,1,-2,-1,1,-2,-2,1,0,-2,1,1,0,1,0,0,0
2015-06,cityname,新北市新店區,77,62,33,29,-7,-4,-1,8,-18,-39,31,37,-19,-7,13,-11,-18,9,10,-31,17,18,-9,11,-1,6,-9,-10,18,-2,-22,24,-19,-33,46,1,-7,24,-14,-30,1,-21,10,32,-10,0,-10,12,-16,-9,16,-21,7,26,-20,-15,29,8,18,15,2,5,-5,-18,-11,-39,-52,3,19,6,-5,-22,15,9,-35,-23,32,-19,25,13,-64,-31,64,44,-39,-19,15,29,-43,3,27,-3,0,-26,-2,8,-33,9,28,-11,2,10,2,-4,13,-19,17,28,-28,20,12,-22,-11,2,36,-2,-32,-22,6,28,0,-34,-3,55,9,-40,-37,-19,38,44,11,-7,37,32,-18,-20,11,41,1,-38,1,43,23,10,-11,-6,8,8,-2,-15,5,3,2,21,-4,3,6,6,1,-14,12,-7,-3,24,5,0,-20,-5,5,11,-3,-7,-18,4,8,4,-1,4,14,-8,-15,8,-4,-10,11,11,-13,-2,8,-2,-2,-5,1,1,0,3,0,-3,0,-5,-1,3,-1,1,1,1
2015-06,cityname,新北市樹林區,61,19,2,17,-7,-1,-10,17,-1,-35,3,9,15,40,-18,-29,-20,-9,10,17,10,-7,-9,-6,-10,14,12,-10,7,-13,-15,-1,-29,-11,20,-8,2,10,-48,-12,33,-11,18,-9,-16,10,-9,13,-20,-16,42,-8,-20,-2,0,9,-24,-15,34,-2,-12,3,-6,-6,-15,-17,-22,-9,-8,4,7,3,27,-11,-20,-4,-5,-3,11,7,5,-3,32,25,-12,13,27,-8,-4,-2,1,0,-12,-5,-5,8,2,-8,12,2,3,-5,-27,33,16,-18,7,17,2,-28,-12,1,12,14,-8,16,-6,-22,15,10,4,19,-25,-14,34,11,-36,-13,8,15,-1,9,36,29,-13,-11,1,11,5,1,19,-3,3,7,-9,-5,6,7,-21,-4,21,-7,-1,11,-6,8,6,-15,-1,8,11,10,3,-1,-12,-2,-2,-3,4,7,6,-1,1,4,4,-1,4,1,-5,-4,-1,0,4,3,2,2,-2,-4,1,0,2,3,-2,0,-1,-1,-1,1,0,1,0,-2,0,-2,1,1
2015-06,cityname,新北市鶯歌區,18,-49,-41,-8,6,1,5,-11,-15,-16,19,18,-1,5,-15,-4,13,-5,1,8,-6,-9,8,-3,-3,7,-4,-1,6,-3,-24,-12,-1,-9,-10,18,7,6,5,-18,-9,3,-9,16,3,-8,9,17,8,-17,-9,6,-2,-5,-12,-7,-4,2,10,-16,-12,1,1,-1,-1,2,3,-19,-7,9,-4,-29,13,-4,-35,24,9,-2,11,-1,-18,7,29,11,-20,-5,13,1,-4,5,-5,-1,-7,0,30,21,-39,-13,34,-1,-27,-7,11,7,-17,5,-6,-16,12,14,3,4,-2,-11,12,1,-10,-8,-1,10,3,-6,-5,19,-3,-15,2,6,5,3,-3,3,17,13,-2,-9,-1,2,6,-5,1,4,5,6,-5,-4,6,6,-12,4,8,-14,-1,8,5,-2,0,6,-4,1,-6,0,6,-1,3,4,0,-3,-4,4,-1,-3,2,2,-2,-3,2,0,-2,-1,0,-2,-3,-1,2,2,-2,2,1,-2,-1,1,0,1,0,0,0,-1,0,1,0,0,0,-1,0,0
2015-06,cityname,新北市三峽區,53,59,14,45,0,10,5,4,-12,-20,12,16,3,5,6,-29,-16,-2,8,4,5,5,-2,7,-5,2,4,-1,-8,-16,-2,9,2,-17,3,-6,11,26,-28,-37,3,8,-17,16,13,-26,-1,5,8,3,16,2,-9,2,-1,5,-2,-4,18,-5,-13,4,-11,6,-13,-12,12,18,-6,-21,4,8,-20,-11,7,9,3,-23,11,10,-10,6,-9,-2,12,8,13,1,6,-12,-21,-1,18,11,-8,-4,-15,8,7,5,0,18,-7,1,-1,-19,-4,15,26,-18,-17,11,-6,10,5,6,7,-9,-1,2,13,14,-11,-22,14,13,-11,11,11,9,5,-5,10,7,4,-3,6,7,3,1,-4,10,0,3,-13,-2,13,7,-8,-15,13,5,-13,1,5,6,2,-3,-4,3,11,1,-4,1,-10,-5,8,1,-8,9,-1,-3,1,-4,3,5,-1,-5,-1,1,-2,1,4,0,-9,5,1,-1,3,3,0,0,-1,0,2,-2,0,2,0,0,0,-1,0,0,0,-1
2015-06,cityname,新北市淡水區,196,331,152,179,9,19,3,0,-13,-6,28,-28,-5,38,-4,-11,19,7,-10,16,-2,-20,24,3,-14,3,-24,-12,14,-3,12,4,-11,-30,5,21,-4,12,-6,-7,-6,6,9,-2,14,15,-11,-21,11,14,-2,-23,10,13,5,28,-7,9,3,-11,-6,2,-11,4,0,-8,0,13,-2,-26,8,10,2,21,5,-19,-15,9,13,-10,-12,-14,23,19,1,-18,0,22,20,-9,-14,9,1,-18,-10,-11,12,38,3,13,14,-24,15,38,-28,-24,-3,17,34,2,-23,-2,10,11,7,9,-3,-26,13,31,-14,14,6,-10,29,23,-14,2,-5,0,14,16,-4,12,14,-4,4,6,-1,10,4,-11,9,20,-1,-3,-1,-4,-3,-4,-1,22,-4,-6,14,-10,-7,5,7,4,3,1,0,10,1,-10,7,8,-5,7,-1,-11,1,2,3,-1,-2,0,-8,-7,4,3,1,1,1,3,1,-1,-1,0,-1,1,2,0,0,-4,-2,0,0,3,1,0,0,0,0,-1
