year,male,female,total
2019,61957,62924,124881
2020,61938,63013,124951
2021,61897,63086,124983
2022,61835,63134,124969
2023,61746,63161,124907
2024,61637,63168,124805
2025,61541,63182,124723
2026,61427,63178,124605
2027,61289,63150,124439
2028,61125,63099,124224
2029,60939,63025,123964
2030,60721,62915,123636
2031,60479,62786,123265
2032,60210,62626,122836
2033,59922,62446,122368
2034,59608,62238,121846
2035,59335,62068,121403
2036,59025,61867,120892
2037,58702,61645,120347
2038,58355,61390,119745
2039,57984,61107,119091
2040,57582,60795,118377
2041,57165,60450,117615
2042,56728,60078,116806
2043,56274,59680,115954
2044,55796,59256,115052
2045,55354,58875,114229
2046,54897,58464,113361
2047,54416,58011,112427
2048,53911,57527,111438
2049,53395,57016,110411
2050,52863,56487,109350
2051,52321,55928,108249
2052,51762,55362,107124
2053,51192,54775,105967
2054,50611,54176,104787
2055,50067,53620,103687
2056,49509,53049,102558
2057,48950,52471,101421
2058,48384,51880,100264
2059,47808,51272,99080
2060,47223,50661,97884
2061,46626,50034,96660
2062,46028,49408,95436
2063,45422,48772,94194
2064,44811,48127,92938
2065,44226,47520,91746
