year,male,female,total
2019,23469,23578,47047
2020,23519,23646,47165
2021,23554,23706,47260
2022,23586,23760,47346
2023,23611,23810,47421
2024,23631,23851,47482
2025,23658,23897,47555
2026,23673,23935,47608
2027,23683,23972,47655
2028,23682,24004,47686
2029,23672,24027,47699
2030,23651,24042,47693
2031,23616,24053,47669
2032,23566,24057,47623
2033,23507,24051,47558
2034,23436,24034,47470
2035,23376,24027,47403
2036,23303,24005,47308
2037,23219,23974,47193
2038,23120,23933,47053
2039,23010,23882,46892
2040,22886,23816,46702
2041,22750,23739,46489
2042,22605,23648,46253
2043,22451,23549,46000
2044,22283,23448,45731
2045,22127,23353,45480
2046,21963,23251,45214
2047,21789,23139,44928
2048,21609,23013,44622
2049,21424,22879,44303
2050,21233,22736,43969
2051,21030,22579,43609
2052,20823,22420,43243
2053,20611,22251,42862
2054,20391,22077,42468
2055,20187,21913,42100
2056,19976,21738,41714
2057,19759,21559,41318
2058,19532,21372,40904
2059,19307,21174,40481
2060,19078,20965,40043
2061,18849,20751,39600
2062,18615,20528,39143
2063,18378,20300,38678
2064,18138,20062,38200
2065,17909,19840,37749
