year,male,female,total
2019,20021,17990,38011
2020,19930,17950,37880
2021,19839,17909,37748
2022,19737,17867,37604
2023,19635,17815,37450
2024,19533,17766,37299
2025,19438,17728,37166
2026,19341,17685,37026
2027,19236,17635,36871
2028,19122,17583,36705
2029,19002,17514,36516
2030,18878,17445,36323
2031,18743,17374,36117
2032,18600,17290,35890
2033,18446,17199,35645
2034,18284,17099,35383
2035,18133,17012,35145
2036,17970,16918,34888
2037,17803,16815,34618
2038,17623,16705,34328
2039,17438,16585,34023
2040,17243,16453,33696
2041,17035,16316,33351
2042,16819,16170,32989
2043,16596,16020,32616
2044,16369,15858,32227
2045,16156,15711,31867
2046,15937,15554,31491
2047,15711,15390,31101
2048,15484,15219,30703
2049,15255,15039,30294
2050,15022,14856,29878
2051,14790,14672,29462
2052,14561,14487,29048
2053,14333,14304,28637
2054,14103,14117,28220
2055,13889,13947,27836
2056,13676,13773,27449
2057,13468,13601,27069
2058,13254,13421,26675
2059,13045,13240,26285
2060,12831,13057,25888
2061,12622,12879,25501
2062,12411,12696,25107
2063,12203,12512,24715
2064,12002,12330,24332
2065,11808,12156,23964
