year,age_range,male,female,total
2019,0-4,568,509,1077
2019,5-9,494,442,936
2019,10-14,519,482,1001
2019,15-19,722,630,1352
2019,20-24,934,827,1761
2019,25-29,999,954,1953
2019,30-34,933,889,1822
2019,35-39,987,1007,1994
2019,40-44,961,941,1902
2019,45-49,855,840,1695
2019,50-54,1121,964,2085
2019,55-59,1073,980,2053
2019,60-64,876,870,1746
2019,65-69,750,721,1471
2019,70-74,440,473,913
2019,75-79,415,488,903
2019,80-84,315,389,704
2019,85-89,127,206,333
2019,90-94,34,65,99
2019,95-99,11,10,21
2019,100+,0,0,0
2020,0-4,573,490,1063
2020,5-9,505,480,985
2020,10-14,491,454,945
2020,15-19,652,599,1251
2020,20-24,924,776,1700
2020,25-29,1013,931,1944
2020,30-34,937,908,1845
2020,35-39,983,989,1972
2020,40-44,989,992,1981
2020,45-49,808,800,1608
2020,50-54,1089,961,2050
2020,55-59,1079,1010,2089
2020,60-64,908,856,1764
2020,65-69,750,764,1514
2020,70-74,524,510,1034
2020,75-79,367,478,845
2020,80-84,325,400,725
2020,85-89,139,213,352
2020,90-94,44,74,118
2020,95-99,9,13,22
2020,100+,0,0,0
2021,0-4,542,481,1023
2021,5-9,555,497,1052
2021,10-14,466,435,901
2021,15-19,620,567,1187
2021,20-24,849,717,1566
2021,25-29,1039,955,1994
2021,30-34,955,913,1868
2021,35-39,965,964,1929
2021,40-44,988,1001,1989
2021,45-49,805,831,1636
2021,50-54,1061,917,1978
2021,55-59,1098,1007,2105
2021,60-64,902,877,1779
2021,65-69,786,790,1576
2021,70-74,566,557,1123
2021,75-79,339,444,783
2021,80-84,336,399,735
2021,85-89,155,248,403
2021,90-94,45,84,129
2021,95-99,13,16,29
2021,100+,0,0,0
2022,0-4,529,476,1005
2022,5-9,545,507,1052
2022,10-14,499,440,939
2022,15-19,562,547,1109
2022,20-24,804,646,1450
2022,25-29,1011,933,1944
2022,30-34,982,936,1918
2022,35-39,970,910,1880
2022,40-44,999,1044,2043
2022,45-49,827,837,1664
2022,50-54,982,931,1913
2022,55-59,1074,968,2042
2022,60-64,961,904,1865
2022,65-69,783,791,1574
2022,70-74,620,625,1245
2022,75-79,332,403,735
2022,80-84,334,430,764
2022,85-89,174,258,432
2022,90-94,50,96,146
2022,95-99,13,19,32
2022,100+,0,0,0
2023,0-4,528,476,1004
2023,5-9,552,505,1057
2023,10-14,502,446,948
2023,15-19,522,508,1030
2023,20-24,770,641,1411
2023,25-29,975,884,1859
2023,30-34,976,938,1914
2023,35-39,952,905,1857
2023,40-44,1016,1017,2033
2023,45-49,870,903,1773
2023,50-54,887,872,1759
2023,55-59,1096,952,2048
2023,60-64,989,966,1955
2023,65-69,794,785,1579
2023,70-74,649,660,1309
2023,75-79,355,426,781
2023,80-84,322,413,735
2023,85-89,186,266,452
2023,90-94,59,108,167
2023,95-99,11,23,34
2023,100+,0,0,0
2024,0-4,515,478,993
2024,5-9,568,509,1077
2024,10-14,494,442,936
