year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2019,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,70,60,73,75,77,69,98,79,73,59,63,81,71,66,78,50,49,55,70,42,58,44,33,33,36,31,41,25,34,27,26,25,24,32,28,19,13,15,12,14,10,14,11,7,7,5,6,4,3,3,3,4,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,51,51,50,45,43,51,39,38,36,30,29,34,25,35,31,29,35,34,25,25,23,25,13,15,23,23,15,11,10,11,8,7,5,4,3,5,1,4
2020,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,70,60,73,75,76,68,97,78,72,58,62,80,70,65,77,49,48,54,69,41,57,43,32,32,35,30,39,24,32,26,25,23,22,30,26,17,12,13,11,12,9,12,9,6,6,4,5,3,2,2,0,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,51,51,50,45,43,50,39,38,35,30,28,33,24,34,30,28,34,33,24,24,22,23,12,14,21,21,13,10,9,9,7,6,4,3,2,4,0
2021,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,70,60,73,74,75,67,96,77,71,57,61,79,69,64,76,48,47,53,68,40,56,42,31,31,34,29,37,23,30,25,23,21,20,28,24,15,11,12,10,10,8,10,8,5,5,3,4,2,1,0,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,51,51,50,45,43,49,39,37,34,29,27,32,23,33,29,27,33,32,23,23,21,21,11,13,19,19,11,9,8,8,6,5,3,2,1,0
2022,18,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,70,60,72,73,74,66,95,76,70,56,60,78,68,63,75,47,46,52,67,39,55,41,30,30,33,28,35,22,28,23,21,19,18,26,22,13,10,11,9,9,7,8,7,4,4,2,3,1,0,16,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,51,51,50,45,43,48,38,36,33,28,26,31,22,32,28,26,32,30,22,22,20,19,10,12,17,17,10,8,7,7,5,4,2,1,0
2023,17,18,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,70,60,71,72,73,65,94,75,69,55,59,77,67,62,74,46,45,51,65,38,53,40,29,29,32,27,33,21,26,21,19,18,16,24,20,12,9,10,8,8,6,7,6,3,3,1,2,0,15,16,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,51,51,50,45,42,47,37,35,32,27,25,30,21,31,27,25,30,28,21,20,18,17,9,11,15,15,9,7,6,6,4,3,1,0
2024,17,17,18,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,70,60,70,71,72,64,93,74,68,54,58,76,66,61,73,45,44,50,63,37,51,39,28,28,31,26,31,20,24,19,18,16,14,22,18,11,8,9,7,7,5,6,5,2,2,1,0,15,15,16,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,51,50,49,44,41,46,36,34,31,26,24,29,20,30,26,24,28,26,20,18,16,15,8,10,13,13,8,6,5,5,3,2,0
2025,15,17,17,18,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,70,60,69,70,71,63,92,73,67,53,57,75,65,60,72,44,43,49,61,36,49,38,27,27,30,25,29,19,22,18,17,15,13,20,16,10,7,8,6,6,4,5,4,2,1,0,13,15,15,16,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,51,49,48,43,40,45,35,33,30,25,23,28,19,29,25,23,26,24,19,17,15,13,7,9,11,11,7,5,4,4,2,0
2026,14,15,17,17,18,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,69,60,68,69,70,62,91,72,66,52,56,74,64,59,71,43,42,48,59,35,47,36,26,26,28,24,27,18,20,17,15,14,12,18,14,9,6,7,5,5,3,4,3,1,0,14,13,15,15,16,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,50,48,47,42,39,44,34,32,29,24,22,27,18,28,24,22,24,22,17,15,13,12,6,8,9,9,6,4,3,3,0
2027,14,14,15,17,17,18,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,64,68,59,67,68,69,61,90,71,65,51,55,73,63,58,69,42,41,47,57,34,45,34,25,25,26,22,25,17,18,15,14,13,11,16,12,8,5,6,4,4,2,3,2,0,13,14,13,15,15,16,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,46,49,47,46,41,38,43,33,31,28,23,21,26,17,27,23,21,22,20,15,13,12,10,5,7,7,7,5,3,2,0
2028,14,14,14,15,17,17,18,18,19,14,12,18,19,18,16,13,15,13,14,10,14,22,28,27,26,30,29,45,45,30,46,50,48,34,38,41,37,38,41,52,38,39,27,26,37,34,27,42,43,40,39,52,43,46,42,56,58,63,67,58,66,67,68,60,89,70,64,50,54,72,62,57,67,41,40,45,55,33,43,32,24,24,24,20,23,16,16,14,13,11,10,14,10,7,4,5,3,3,2,2,0,13,13,14,13,15,15,16,17,17,16,17,18,21,15,21,12,10,15,7,11,12,22,18,17,27,24,24,27,36,34,42,40,39,31,41,42,35,28,34,36,32,28,35,40,29,34,41,38,38,36,28,42,49,36,42,31,50,41,54,47,44,37,52,47,42,62,38,45,41,52,46,45,48,46,45,40,37,42,32,30,27,22,20,25,16,25,22,19,20,18,13,12,10,9,4,6,6,5,4,2,0
