year,male,female,total
2019,2835,2522,5357
2020,2823,2525,5348
2021,2810,2526,5336
2022,2796,2521,5317
2023,2780,2515,5295
2024,2764,2509,5273
2025,2752,2504,5256
2026,2738,2495,5233
2027,2721,2487,5208
2028,2703,2475,5178
2029,2687,2464,5151
2030,2670,2451,5121
2031,2651,2440,5091
2032,2632,2428,5060
2033,2610,2417,5027
2034,2589,2402,4991
2035,2572,2392,4964
2036,2552,2377,4929
2037,2529,2361,4890
2038,2505,2342,4847
2039,2480,2320,4800
2040,2453,2299,4752
2041,2424,2279,4703
2042,2394,2254,4648
2043,2361,2227,4588
2044,2326,2201,4527
2045,2297,2179,4476
2046,2264,2156,4420
2047,2227,2131,4358
2048,2191,2107,4298
2049,2157,2080,4237
2050,2124,2052,4176
2051,2090,2021,4111
2052,2056,1990,4046
2053,2023,1959,3982
2054,1987,1926,3913
2055,1953,1897,3850
2056,1920,1868,3788
2057,1886,1839,3725
2058,1851,1810,3661
2059,1817,1782,3599
2060,1783,1752,3535
2061,1748,1722,3470
2062,1714,1692,3406
2063,1681,1661,3342
2064,1648,1631,3279
2065,1617,1602,3219
