year,male,female,total
2019,8982,7934,16916
2020,8929,7915,16844
2021,8878,7897,16775
2022,8823,7877,16700
2023,8767,7853,16620
2024,8709,7826,16535
2025,8652,7803,16455
2026,8589,7778,16367
2027,8530,7749,16279
2028,8464,7717,16181
2029,8390,7680,16070
2030,8316,7640,15956
2031,8239,7595,15834
2032,8158,7543,15701
2033,8074,7490,15564
2034,7982,7434,15416
2035,7894,7384,15278
2036,7799,7333,15132
2037,7699,7271,14970
2038,7596,7205,14801
2039,7494,7140,14634
2040,7389,7073,14462
2041,7279,6996,14275
2042,7165,6918,14083
2043,7048,6840,13888
2044,6929,6755,13684
2045,6818,6680,13498
2046,6706,6599,13305
2047,6593,6516,13109
2048,6479,6428,12907
2049,6362,6340,12702
2050,6247,6250,12497
2051,6134,6160,12294
2052,6025,6072,12097
2053,5912,5984,11896
2054,5804,5894,11698
2055,5705,5812,11517
2056,5607,5729,11336
2057,5512,5644,11156
2058,5420,5560,10980
2059,5322,5478,10800
2060,5227,5394,10621
2061,5134,5309,10443
2062,5045,5226,10271
2063,4958,5143,10101
2064,4871,5061,9932
2065,4786,4988,9774
