year,male,female,total
2019,12563,11137,23700
2020,12483,11108,23591
2021,12406,11070,23476
2022,12325,11037,23362
2023,12248,11000,23248
2024,12165,10957,23122
2025,12093,10923,23016
2026,12015,10883,22898
2027,11934,10835,22769
2028,11852,10785,22637
2029,11765,10733,22498
2030,11673,10679,22352
2031,11577,10617,22194
2032,11475,10552,22027
2033,11372,10482,21854
2034,11262,10407,21669
2035,11163,10343,21506
2036,11059,10273,21332
2037,10945,10196,21141
2038,10822,10116,20938
2039,10697,10033,20730
2040,10567,9945,20512
2041,10429,9848,20277
2042,10286,9744,20030
2043,10145,9643,19788
2044,9998,9543,19541
2045,9858,9448,19306
2046,9714,9354,19068
2047,9566,9252,18818
2048,9417,9147,18564
2049,9268,9038,18306
2050,9118,8929,18047
2051,8967,8822,17789
2052,8818,8710,17528
2053,8668,8602,17270
2054,8521,8489,17010
2055,8382,8388,16770
2056,8246,8284,16530
2057,8112,8176,16288
2058,7974,8070,16044
2059,7841,7960,15801
2060,7711,7857,15568
2061,7582,7749,15331
2062,7455,7647,15102
2063,7329,7541,14870
2064,7206,7436,14642
2065,7092,7340,14432
