year,male,female,total
2019,104613,115989,220602
2020,104206,115841,220047
2021,103825,115681,219506
2022,103428,115485,218913
2023,102999,115243,218242
2024,102546,114961,217507
2025,102130,114705,216835
2026,101691,114407,216098
2027,101220,114067,215287
2028,100713,113674,214387
2029,100162,113227,213389
2030,99571,112731,212302
2031,98938,112178,211116
2032,98265,111570,209835
2033,97555,110906,208461
2034,96804,110180,206984
2035,96124,109537,205661
2036,95389,108830,204219
2037,94610,108055,202665
2038,93796,107225,201021
2039,92935,106334,199269
2040,92035,105377,197412
2041,91096,104358,195454
2042,90121,103279,193400
2043,89107,102143,191250
2044,88069,100953,189022
2045,87099,99859,186958
2046,86101,98704,184805
2047,85069,97483,182552
2048,84004,96209,180213
2049,82922,94891,177813
2050,81823,93535,175358
2051,80714,92146,172860
2052,79595,90737,170332
2053,78474,89330,167804
2054,77354,87927,165281
2055,76306,86625,162931
2056,75256,85309,160565
2057,74208,83997,158205
2058,73157,82661,155818
2059,72108,81320,153428
2060,71051,79985,151036
2061,69996,78655,148651
2062,68943,77314,146257
2063,67889,75984,143873
2064,66847,74658,141505
2065,65857,73410,139267
