統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10308,嘉義縣太保市,前潭里,551,1779,973,806,7,3,7,7,6,7,7,7,4,7,10,4,7,4,4,5,9,4,3,9,3,8,5,4,12,11,10,7,13,6,9,5,13,5,15,12,13,15,16,12,17,10,14,9,9,15,17,16,16,12,14,14,19,10,13,11,13,13,18,12,16,12,11,16,16,18,19,15,17,12,15,10,12,20,8,10,12,10,8,11,14,5,13,9,11,10,10,15,8,9,16,8,15,13,18,10,11,17,15,11,13,14,14,13,23,15,23,17,13,10,15,7,17,10,18,3,15,15,18,12,11,9,12,7,11,10,18,11,11,7,9,3,16,9,7,4,6,4,7,6,11,3,7,2,7,9,7,9,8,5,7,17,4,5,6,7,8,7,9,9,5,6,5,5,6,9,5,4,4,5,1,4,2,1,2,1,0,2,0,0,0,0,1,2,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,
10308,嘉義縣太保市,北新里,1103,3540,1808,1732,9,8,9,17,15,11,11,11,15,11,22,10,26,16,25,15,17,17,26,29,20,25,12,23,17,11,23,26,29,24,27,21,36,27,24,29,23,32,29,27,26,35,24,19,25,33,35,20,34,34,32,23,17,29,25,23,27,24,22,28,38,21,22,20,27,31,34,26,22,29,39,35,35,34,31,30,24,31,26,24,22,23,20,30,37,28,17,23,27,30,20,25,35,30,30,27,31,27,33,25,34,38,32,28,36,27,34,30,22,20,25,19,29,23,31,17,21,16,19,22,18,23,25,18,26,10,17,12,11,9,12,11,10,13,11,9,11,8,10,13,6,14,12,5,12,8,10,12,11,8,7,11,9,8,5,8,5,16,10,5,5,10,7,11,3,4,2,10,5,7,2,4,2,4,1,3,3,4,1,2,2,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
10308,嘉義縣太保市,南新里,703,2230,1151,1079,4,5,9,9,7,11,10,8,6,9,6,9,13,14,12,16,10,7,11,13,8,12,8,10,5,12,16,7,19,17,15,14,14,17,23,21,23,24,24,17,17,18,13,12,26,14,15,7,14,21,11,15,17,17,16,13,14,17,21,23,18,11,10,16,19,14,18,15,14,15,19,11,16,17,9,15,16,16,21,12,12,19,14,23,20,21,11,18,22,12,22,21,18,16,20,19,18,17,20,17,30,15,12,11,22,9,20,17,16,15,16,13,27,15,11,10,15,11,13,12,17,8,18,13,19,14,10,18,10,5,11,16,14,7,10,10,5,6,7,6,10,6,11,4,9,8,5,7,13,11,8,10,6,6,2,6,6,9,2,9,5,11,6,4,7,4,1,4,1,5,2,3,4,1,2,2,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10308,嘉義縣太保市,埤鄉里,282,868,482,386,4,2,4,1,5,2,6,2,0,4,3,4,2,5,3,3,3,6,2,4,5,2,4,2,4,2,8,4,7,3,2,3,4,6,10,6,8,5,3,5,13,8,4,7,6,5,8,7,9,8,9,2,7,6,3,2,6,7,5,1,4,6,7,7,5,3,11,5,8,4,5,9,7,9,4,3,10,6,6,3,5,11,3,4,5,6,10,1,3,3,9,4,14,8,5,3,6,4,5,4,10,2,10,10,12,1,10,8,9,3,6,5,5,13,5,3,7,11,4,4,9,6,4,5,9,5,12,7,4,1,2,4,4,6,1,2,1,1,7,2,6,7,4,4,3,4,5,1,5,3,0,2,4,2,1,1,8,3,5,4,1,2,4,3,3,3,4,8,0,1,4,3,1,3,0,1,1,2,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10308,嘉義縣太保市,太保里,895,2691,1385,1306,6,6,12,6,12,10,8,8,6,5,13,20,15,14,16,17,12,12,17,8,12,14,7,15,15,10,18,8,15,13,9,18,24,23,21,20,27,20,27,15,21,11,24,23,29,24,21,18,31,25,19,20,19,13,23,11,19,18,18,18,24,22,23,21,10,22,24,25,28,21,19,21,24,29,16,22,29,17,17,25,17,23,20,20,19,20,22,24,24,17,16,30,22,21,20,27,28,19,19,15,31,27,23,20,18,18,35,13,30,20,22,19,20,19,12,15,20,25,13,10,17,14,14,9,15,18,13,14,11,17,14,10,12,15,9,4,8,8,6,11,10,10,14,5,9,5,7,6,8,7,6,6,5,8,7,7,3,7,5,7,5,8,6,9,1,6,4,6,4,4,5,2,1,0,2,1,0,1,1,3,0,2,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,
10308,嘉義縣太保市,安仁里,1201,3346,1624,1722,15,12,29,15,17,16,17,16,18,18,24,23,26,27,37,38,35,30,36,49,30,38,42,39,43,37,42,33,38,44,34,37,26,33,29,23,25,20,17,21,20,18,21,15,13,21,21,16,16,21,21,12,17,16,15,24,13,19,17,14,14,19,18,14,14,30,23,30,26,35,25,44,28,36,20,32,36,37,18,37,42,42,36,39,28,38,38,38,31,36,29,32,21,32,27,27,29,19,29,25,23,22,27,13,16,18,23,18,9,16,14,17,14,9,9,10,19,18,10,17,15,8,11,10,11,16,17,16,17,7,8,7,6,11,5,8,6,4,6,5,8,8,7,1,7,9,7,7,0,11,7,6,5,1,1,6,4,3,4,5,2,3,6,3,2,1,1,6,3,3,2,2,2,2,2,1,0,1,0,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
10308,嘉義縣太保市,崙頂里,324,983,512,471,2,3,3,1,4,3,4,3,1,5,4,5,2,3,4,4,4,5,1,3,2,2,3,1,1,3,2,1,5,7,5,6,6,4,8,15,7,8,12,9,8,5,5,9,2,6,8,9,4,4,10,3,7,3,5,4,1,5,5,6,11,7,5,6,2,4,10,12,8,4,6,4,4,8,5,8,8,8,10,8,11,6,7,6,10,6,10,9,7,8,15,5,8,9,5,7,10,3,7,10,9,10,6,5,9,5,9,4,8,6,7,6,11,4,8,5,7,5,11,7,3,5,9,6,9,5,4,7,8,8,3,4,8,6,5,2,4,4,3,5,5,4,3,4,5,5,3,7,7,6,5,2,7,5,4,5,4,2,2,4,3,6,3,5,7,4,8,3,2,3,1,2,2,2,1,1,2,4,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,
10308,嘉義縣太保市,後庄里,158,601,313,288,1,3,7,6,1,0,1,4,1,4,2,1,4,3,0,4,1,1,0,3,2,1,3,3,2,1,2,8,5,0,6,4,2,6,5,5,4,2,6,3,5,3,8,4,1,3,4,6,4,4,4,6,5,2,8,0,6,5,7,3,5,7,4,4,7,4,4,7,8,4,6,7,8,3,3,4,5,4,3,3,3,3,2,5,3,7,5,2,6,1,5,4,7,3,8,1,6,4,4,3,2,1,4,7,8,4,3,5,2,3,3,5,3,8,6,6,3,3,7,5,8,2,6,3,4,5,9,5,2,1,3,4,4,2,0,3,0,2,1,1,1,2,0,1,1,2,0,0,2,1,3,3,3,1,2,4,1,4,2,2,3,3,1,0,0,2,3,2,1,1,2,2,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
10308,嘉義縣太保市,後潭里,589,1956,1030,926,9,8,8,9,8,5,7,7,8,7,8,6,9,9,6,8,2,12,7,8,8,15,15,10,10,8,7,12,17,9,7,8,14,13,17,16,17,13,15,12,15,7,18,11,6,9,15,7,14,7,7,11,15,12,14,11,11,12,15,22,19,8,19,13,19,15,18,19,19,17,20,22,19,14,24,21,16,9,16,13,16,15,10,8,12,9,9,11,15,16,18,8,18,6,19,10,16,10,19,10,8,24,17,13,8,17,17,11,22,11,28,14,12,21,15,13,12,8,15,8,19,8,10,8,21,9,12,10,9,12,10,9,9,11,4,4,7,1,6,6,2,11,10,12,6,6,4,8,5,8,7,11,6,5,8,7,10,9,6,8,4,13,6,3,2,7,5,8,5,9,6,9,2,4,1,5,1,3,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10308,嘉義縣太保市,新埤里,480,1510,808,702,3,4,3,7,4,3,4,4,3,5,4,1,6,4,5,2,8,7,8,3,6,11,11,10,7,6,8,6,7,9,11,12,13,10,9,11,14,8,5,7,14,16,9,9,13,9,5,12,15,13,11,8,13,7,16,7,11,10,7,13,10,9,15,4,11,15,13,7,13,4,7,6,9,13,1,10,13,9,9,13,12,9,8,11,11,12,12,8,9,9,12,5,17,17,14,12,8,14,13,12,19,10,16,11,18,13,28,7,8,17,21,6,19,10,11,4,10,11,19,9,15,13,6,4,12,12,8,5,10,6,12,6,11,4,4,3,5,4,5,6,5,3,5,6,7,11,8,9,2,4,7,5,5,7,2,5,5,4,5,4,4,6,5,6,3,8,1,4,1,5,3,4,2,1,2,6,3,0,0,3,1,1,1,1,2,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,
