year,male,female,total
2019,1623,1533,3156
2020,1633,1544,3177
2021,1644,1556,3200
2022,1656,1566,3222
2023,1668,1577,3245
2024,1679,1586,3265
2025,1690,1597,3287
2026,1701,1607,3308
2027,1711,1616,3327
2028,1720,1624,3344
2029,1727,1633,3360
2030,1733,1641,3374
2031,1739,1645,3384
2032,1739,1651,3390
2033,1741,1655,3396
2034,1740,1656,3396
2035,1744,1664,3408
2036,1740,1665,3405
2037,1737,1662,3399
2038,1734,1659,3393
2039,1728,1656,3384
2040,1720,1654,3374
2041,1712,1648,3360
2042,1705,1642,3347
2043,1697,1636,3333
2044,1691,1630,3321
2045,1689,1626,3315
2046,1682,1622,3304
2047,1671,1616,3287
2048,1659,1609,3268
2049,1647,1603,3250
2050,1635,1595,3230
2051,1620,1584,3204
2052,1607,1572,3179
2053,1591,1561,3152
2054,1576,1551,3127
2055,1562,1543,3105
2056,1548,1532,3080
2057,1533,1521,3054
2058,1517,1509,3026
2059,1502,1497,2999
2060,1486,1483,2969
2061,1470,1471,2941
2062,1455,1457,2912
2063,1440,1442,2882
2064,1426,1428,2854
2065,1412,1416,2828
