year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2019,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,78,90,86,99,87,109,95,99,106,81,86,67,74,63,77,79,57,53,70,50,51,41,28,44,40,28,37,35,39,45,56,39,28,24,43,29,20,22,16,12,11,10,4,6,3,6,1,4,2,2,1,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,51,27,41,49,44,32,37,35,29,36,27,38,36,36,37,42,38,43,41,36,38,33,37,20,26,25,14,14,6,13,14,5,4,1,1,3,1
2020,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,78,89,85,98,86,108,94,98,105,80,85,66,73,62,76,78,56,52,69,49,50,40,27,43,39,27,35,33,37,42,53,36,26,22,39,26,18,20,14,10,9,8,3,5,2,5,1,3,1,0,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,51,27,41,49,44,32,37,35,29,35,26,37,35,35,36,41,37,41,39,34,36,31,34,18,23,22,12,12,5,11,11,4,3,1,1,0
2021,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,78,88,84,97,85,107,93,97,104,79,84,65,72,61,75,77,55,51,67,48,49,39,26,41,37,26,33,31,35,39,49,33,24,20,35,23,16,18,12,9,8,7,2,4,2,4,1,2,0,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,51,27,41,49,44,32,36,34,28,34,25,36,34,34,35,39,35,39,37,32,34,29,31,16,21,19,10,10,4,9,9,3,2,1,0
2022,21,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,77,87,83,96,84,106,92,96,103,78,83,64,71,60,74,76,54,50,65,47,48,38,25,39,35,25,31,29,33,36,45,30,22,18,31,20,14,16,10,8,7,6,2,3,2,3,1,0,20,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,51,27,41,48,43,32,35,33,27,33,24,35,33,33,34,37,33,37,35,30,31,26,28,14,18,16,9,8,3,7,7,2,1,0
2023,21,21,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,76,86,82,95,83,105,91,95,102,77,82,63,70,59,73,74,53,49,63,46,46,37,24,37,33,24,29,27,31,33,41,27,20,16,28,18,12,14,8,7,6,5,2,2,1,2,0,19,20,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,51,27,41,47,42,32,34,32,26,32,23,34,32,32,33,35,31,35,33,28,28,23,25,12,16,14,8,7,2,5,5,1,0
2024,21,21,21,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,75,85,81,94,82,104,90,94,101,76,81,62,69,58,72,72,52,48,61,45,44,36,23,35,31,23,27,25,29,30,37,24,18,14,25,16,10,12,7,6,5,4,2,1,1,0,20,19,20,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,50,27,40,46,41,31,33,31,25,31,22,33,31,31,31,33,29,33,30,26,25,21,22,10,14,12,7,6,2,4,4,0
2025,21,21,21,21,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,74,84,80,93,81,103,89,93,100,75,80,61,68,57,71,70,51,47,59,44,42,35,22,33,29,22,25,23,27,28,34,22,16,12,22,14,9,10,6,5,4,3,2,1,0,19,20,19,20,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,49,27,39,45,40,30,32,30,24,30,21,32,30,30,29,31,27,31,28,24,22,19,19,9,12,10,6,5,2,3,0
2026,20,21,21,21,21,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,73,83,79,92,80,102,88,92,99,74,79,60,67,56,69,68,50,46,57,42,40,33,21,31,27,21,23,21,25,25,31,20,14,10,19,12,8,8,5,4,3,2,1,0,19,19,20,19,20,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,54,49,48,27,38,44,39,29,31,29,23,29,20,31,29,28,27,29,25,29,25,22,20,17,16,8,10,8,5,4,1,0
2027,21,20,21,21,21,21,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,64,58,72,82,78,91,79,101,87,91,98,73,78,59,66,55,67,66,49,44,55,40,38,31,20,29,25,20,21,19,23,23,28,18,12,9,16,10,7,6,4,3,2,1,0,19,19,19,20,19,20,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,53,48,47,27,37,43,38,28,30,28,22,28,19,30,28,26,25,27,23,26,22,20,17,15,13,7,8,6,4,3,0
2028,20,21,20,21,21,21,21,20,19,21,22,14,17,13,9,10,13,8,7,10,15,11,14,15,20,20,20,29,42,26,25,43,39,40,45,38,32,29,47,34,24,35,34,35,45,44,37,41,42,45,51,53,49,36,51,65,59,63,58,71,81,77,90,78,100,86,90,97,72,77,58,65,54,65,64,47,42,53,38,36,29,19,27,23,19,19,17,21,21,25,16,10,8,13,8,6,5,3,2,1,0,18,19,19,19,20,19,20,19,17,19,17,11,14,18,16,6,8,7,12,8,13,11,11,16,19,16,17,32,32,30,42,41,28,40,38,41,30,36,32,31,38,23,27,33,25,33,40,30,27,38,43,37,49,47,43,49,48,54,42,54,38,50,48,58,59,49,66,46,46,53,45,52,47,46,27,36,42,37,27,29,27,21,27,18,28,26,24,23,25,21,23,20,17,15,13,11,6,6,5,3,0
