year,male,female,total
2019,32104,30917,63021
2020,32069,30953,63022
2021,32037,30989,63026
2022,31995,31012,63007
2023,31948,31027,62975
2024,31898,31039,62937
2025,31860,31066,62926
2026,31821,31084,62905
2027,31769,31096,62865
2028,31703,31090,62793
2029,31621,31080,62701
2030,31528,31051,62579
2031,31424,31011,62435
2032,31306,30955,62261
2033,31172,30879,62051
2034,31014,30781,61795
2035,30867,30700,61567
2036,30698,30596,61294
2037,30513,30476,60989
2038,30311,30337,60648
2039,30088,30178,60266
2040,29853,29999,59852
2041,29597,29806,59403
2042,29333,29600,58933
2043,29059,29379,58438
2044,28780,29147,57927
2045,28517,28936,57453
2046,28242,28705,56947
2047,27962,28466,56428
2048,27674,28223,55897
2049,27382,27963,55345
2050,27082,27698,54780
2051,26783,27424,54207
2052,26482,27145,53627
2053,26176,26865,53041
2054,25868,26579,52447
2055,25584,26317,51901
2056,25293,26049,51342
2057,24992,25775,50767
2058,24691,25489,50180
2059,24391,25195,49586
2060,24081,24896,48977
2061,23767,24590,48357
2062,23449,24278,47727
2063,23127,23960,47087
2064,22802,23639,46441
2065,22491,23339,45830
