year,male,female,total
2019,46500,49104,95604
2020,46425,49120,95545
2021,46348,49136,95484
2022,46261,49140,95401
2023,46170,49131,95301
2024,46070,49112,95182
2025,45990,49106,95096
2026,45897,49089,94986
2027,45793,49056,94849
2028,45675,49008,94683
2029,45547,48935,94482
2030,45399,48845,94244
2031,45235,48730,93965
2032,45052,48596,93648
2033,44847,48430,93277
2034,44628,48250,92878
2035,44433,48103,92536
2036,44212,47934,92146
2037,43972,47738,91710
2038,43719,47518,91237
2039,43443,47277,90720
2040,43144,47012,90156
2041,42827,46721,89548
2042,42487,46403,88890
2043,42134,46067,88201
2044,41768,45710,87478
2045,41424,45377,86801
2046,41065,45027,86092
2047,40687,44644,85331
2048,40294,44236,84530
2049,39884,43795,83679
2050,39463,43343,82806
2051,39029,42869,81898
2052,38591,42380,80971
2053,38145,41877,80022
2054,37694,41364,79058
2055,37269,40892,78161
2056,36845,40412,77257
2057,36417,39922,76339
2058,35987,39419,75406
2059,35557,38913,74470
2060,35117,38395,73512
2061,34676,37873,72549
2062,34232,37351,71583
2063,33783,36822,70605
2064,33330,36302,69632
2065,32899,35802,68701
