統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10305,臺東縣臺東市,中山里,402,1096,527,569,2,9,11,10,8,14,13,9,13,14,11,12,11,12,5,10,7,6,8,6,4,4,9,6,3,4,4,4,6,9,3,3,6,6,6,8,5,3,3,4,10,6,9,3,3,2,6,4,3,2,6,6,9,6,8,5,3,8,7,5,10,3,8,8,8,13,9,6,6,8,8,12,3,11,9,17,5,11,5,7,10,6,13,8,3,8,6,9,7,5,8,6,6,11,8,6,5,6,4,8,4,4,4,5,7,9,15,5,7,3,6,11,13,5,5,6,8,11,11,7,4,8,8,3,4,7,9,13,9,6,2,6,8,5,6,5,2,4,3,6,4,3,2,3,4,3,4,3,4,7,1,5,3,3,3,5,2,7,3,2,2,4,2,5,1,2,3,2,1,5,3,2,0,3,2,2,0,1,2,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10305,臺東縣臺東市,中心里,1342,4203,2041,2162,19,14,25,16,12,16,21,21,18,18,25,14,27,31,35,30,33,40,35,38,44,47,68,51,62,45,55,39,44,47,32,34,33,28,45,29,34,38,32,37,45,29,26,26,30,26,34,24,28,21,29,24,15,36,20,17,20,17,22,28,22,21,24,26,32,35,28,26,14,28,26,43,25,39,33,38,24,29,21,28,20,27,24,32,20,41,23,29,26,23,34,28,35,34,22,37,23,33,24,43,31,27,32,33,29,22,41,31,33,32,24,32,21,16,26,27,18,25,26,24,24,35,17,26,23,31,19,18,10,17,16,23,13,18,17,16,8,13,11,13,15,15,6,13,12,13,7,9,9,15,6,11,9,8,5,11,6,6,5,8,7,8,10,2,6,6,3,11,4,5,3,4,5,4,3,2,3,3,3,0,2,1,1,3,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,
10305,臺東縣臺東市,中正里,387,931,458,473,2,1,3,4,2,0,1,3,2,2,2,1,0,0,0,0,3,1,2,1,1,2,1,2,3,2,3,0,5,4,2,2,4,4,4,2,8,4,4,5,3,7,9,7,9,6,3,8,3,7,4,4,7,8,4,3,6,5,15,8,9,6,8,7,7,11,12,7,7,6,7,5,2,10,7,9,8,5,6,4,6,4,7,4,4,11,7,8,9,6,2,5,4,7,8,7,4,4,7,8,7,8,5,6,6,14,7,10,9,3,12,7,4,10,12,12,5,5,9,9,9,9,10,8,6,14,13,12,11,5,7,7,6,6,5,3,3,1,3,3,6,8,6,7,5,4,1,5,2,4,4,4,5,5,5,7,4,7,7,7,1,4,3,2,4,1,0,3,0,3,3,1,1,2,1,2,1,3,3,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
10305,臺東縣臺東市,中華里,728,1949,998,951,6,7,5,13,11,7,6,7,6,8,6,6,10,6,6,7,4,6,10,8,8,4,4,4,4,4,5,4,12,8,6,7,16,8,15,13,18,15,11,16,10,11,19,14,18,11,9,13,12,11,11,24,14,8,18,15,18,14,17,7,15,13,18,16,15,15,26,19,14,14,18,14,17,10,22,19,15,7,12,9,20,14,18,16,19,10,18,23,20,11,11,13,11,14,18,11,28,19,10,16,12,22,15,6,14,16,13,17,18,15,13,6,21,16,15,13,14,15,12,23,13,13,20,12,12,13,8,19,8,17,9,11,7,11,8,9,7,10,7,8,6,10,1,9,12,10,10,6,5,9,9,5,2,5,6,8,6,4,2,3,7,5,2,7,2,3,5,4,4,3,3,4,0,5,1,2,1,3,1,1,2,2,0,0,2,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,
10305,臺東縣臺東市,仁愛里,343,847,430,417,6,2,4,2,2,3,1,2,0,4,3,4,4,3,2,0,2,3,1,1,1,1,2,1,1,1,4,1,2,2,0,5,3,5,6,8,7,4,3,6,5,5,6,5,8,11,6,5,6,8,9,8,3,8,6,6,9,4,10,10,15,6,7,7,3,8,8,5,9,5,7,4,5,4,6,6,10,4,6,5,7,5,1,1,4,7,8,2,9,4,6,2,7,9,5,5,7,7,6,5,6,9,11,11,8,4,6,6,9,9,9,13,9,5,15,10,7,10,5,5,11,4,12,7,4,6,7,5,5,7,4,7,5,9,2,5,2,1,3,3,5,1,4,1,2,3,2,3,3,4,1,5,3,4,1,4,0,2,2,2,2,4,2,0,0,2,1,4,0,1,0,1,1,4,1,1,0,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
10305,臺東縣臺東市,光明里,1300,3458,1608,1850,14,18,15,13,13,12,10,16,10,12,16,21,19,13,31,25,29,30,40,36,41,31,44,41,34,59,42,38,50,35,32,32,29,38,29,26,32,31,21,29,23,23,19,30,19,22,21,11,19,12,14,19,16,15,17,16,22,14,14,17,20,21,13,21,22,28,21,26,20,23,23,42,20,29,13,36,30,41,21,19,26,31,28,38,33,55,29,40,32,46,40,34,37,34,34,31,24,34,27,27,15,32,16,24,27,16,16,19,18,21,15,23,27,20,13,16,10,23,11,20,13,17,16,20,14,14,13,21,7,20,5,15,8,13,7,9,7,8,5,7,7,9,8,11,3,8,9,3,6,9,2,11,6,4,7,4,5,6,4,2,6,4,3,4,3,4,7,4,5,1,3,5,6,1,0,2,1,2,1,1,2,0,2,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10305,臺東縣臺東市,卑南里,1204,3096,1567,1529,12,7,20,8,8,8,11,10,8,4,12,11,10,7,8,15,7,7,11,7,9,8,9,11,12,8,18,14,22,12,15,21,17,32,32,23,29,24,30,19,25,17,21,19,20,22,28,21,22,25,23,18,16,18,16,23,19,30,25,12,30,20,35,27,28,26,17,27,21,33,24,25,27,22,27,27,27,24,28,25,23,34,27,30,34,20,27,23,29,34,29,30,33,23,32,27,28,26,41,23,25,32,29,28,27,33,23,18,26,23,23,24,19,20,16,18,24,27,17,19,23,22,31,20,15,16,14,19,11,8,10,17,10,17,10,11,9,11,9,4,10,13,12,15,11,10,9,14,5,16,6,7,11,9,5,7,8,7,8,12,3,2,1,6,6,4,3,2,4,2,4,3,1,6,3,8,1,1,0,2,0,2,0,2,2,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
10305,臺東縣臺東市,南榮里,1087,3064,1642,1422,7,10,13,16,13,10,10,6,16,11,9,6,16,13,11,6,12,11,9,7,14,6,16,14,12,14,20,18,23,15,16,21,25,26,22,25,27,20,36,20,22,21,18,26,20,28,31,13,27,13,20,21,23,14,21,20,22,13,29,24,15,14,27,20,25,20,26,19,22,25,28,18,24,26,27,35,27,22,17,32,31,23,28,24,26,28,34,22,17,29,32,20,32,27,25,15,31,18,32,28,28,22,28,23,26,25,20,18,17,22,27,20,21,17,20,17,19,15,14,26,14,19,17,23,21,26,15,13,16,30,10,13,15,10,10,12,10,8,9,10,8,10,8,5,7,13,12,6,8,8,6,9,5,6,5,6,5,3,5,8,5,11,8,4,7,6,10,5,8,6,9,2,10,3,9,3,10,2,11,1,7,2,7,0,7,0,6,1,2,0,1,0,1,0,2,0,3,0,4,0,3,0,
10305,臺東縣臺東市,南王里,1117,3061,1571,1490,10,12,13,10,12,12,10,12,8,7,11,5,11,7,7,7,12,7,12,8,13,6,11,13,14,12,18,15,26,22,18,12,23,27,31,20,21,26,35,12,25,24,30,24,30,23,24,24,21,21,29,25,28,10,17,24,24,15,24,27,20,20,29,16,28,22,24,18,24,22,21,21,28,21,22,12,28,29,17,27,11,22,26,19,22,16,18,21,21,27,30,14,35,32,31,23,30,35,26,25,30,29,27,29,16,25,23,20,30,29,32,33,21,20,23,22,21,35,19,24,10,23,13,18,24,20,22,26,20,17,21,13,7,15,12,13,9,12,6,7,10,8,10,13,6,8,7,14,10,15,14,9,2,14,6,8,7,7,4,11,9,7,3,3,5,9,7,4,6,1,6,1,5,1,3,4,0,3,0,1,2,1,1,0,0,3,1,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,
10305,臺東縣臺東市,四維里,290,739,402,337,6,1,6,3,4,2,3,0,5,2,3,4,0,2,4,4,2,1,0,1,4,1,2,4,2,2,7,4,4,5,7,2,3,5,4,5,4,6,4,7,5,5,6,2,8,1,6,5,5,5,10,6,7,6,4,8,5,8,5,3,5,2,3,1,3,6,9,5,8,5,5,6,6,3,8,4,8,5,3,2,7,8,9,5,6,5,4,8,7,4,5,6,6,2,11,7,6,7,8,4,8,10,10,4,11,9,11,6,3,1,5,4,7,5,8,7,4,3,4,0,6,1,2,3,4,8,4,5,5,6,1,2,5,3,4,4,1,5,4,7,6,2,0,2,5,7,3,3,0,2,2,4,4,4,1,5,3,2,0,1,1,2,0,0,1,0,1,1,2,1,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
