year,male,female,total
2019,24354,22424,46778
2020,24336,22430,46766
2021,24307,22440,46747
2022,24265,22447,46712
2023,24220,22449,46669
2024,24171,22448,46619
2025,24126,22449,46575
2026,24072,22444,46516
2027,24010,22434,46444
2028,23942,22415,46357
2029,23864,22390,46254
2030,23775,22351,46126
2031,23674,22304,45978
2032,23556,22251,45807
2033,23424,22185,45609
2034,23279,22114,45393
2035,23148,22053,45201
2036,23003,21980,44983
2037,22844,21895,44739
2038,22675,21803,44478
2039,22493,21695,44188
2040,22302,21579,43881
2041,22101,21455,43556
2042,21896,21319,43215
2043,21677,21173,42850
2044,21452,21018,42470
2045,21241,20878,42119
2046,21025,20730,41755
2047,20800,20573,41373
2048,20571,20408,40979
2049,20335,20237,40572
2050,20104,20061,40165
2051,19867,19871,39738
2052,19626,19683,39309
2053,19382,19486,38868
2054,19137,19285,38422
2055,18908,19103,38011
2056,18675,18912,37587
2057,18435,18721,37156
2058,18194,18523,36717
2059,17947,18317,36264
2060,17700,18112,35812
2061,17453,17906,35359
2062,17202,17693,34895
2063,16947,17476,34423
2064,16690,17251,33941
2065,16439,17043,33482
