year,male,female,total
2019,22004,21275,43279
2020,21949,21279,43228
2021,21893,21282,43175
2022,21830,21277,43107
2023,21755,21261,43016
2024,21675,21236,42911
2025,21598,21215,42813
2026,21512,21189,42701
2027,21418,21155,42573
2028,21321,21109,42430
2029,21213,21055,42268
2030,21098,20991,42089
2031,20975,20916,41891
2032,20835,20835,41670
2033,20684,20741,41425
2034,20516,20637,41153
2035,20373,20545,40918
2036,20216,20444,40660
2037,20044,20330,40374
2038,19859,20202,40061
2039,19667,20069,39736
2040,19465,19919,39384
2041,19261,19754,39015
2042,19047,19586,38633
2043,18828,19407,38235
2044,18599,19218,37817
2045,18389,19042,37431
2046,18176,18860,37036
2047,17955,18666,36621
2048,17729,18462,36191
2049,17502,18253,35755
2050,17273,18033,35306
2051,17038,17808,34846
2052,16797,17578,34375
2053,16559,17349,33908
2054,16322,17116,33438
2055,16103,16896,32999
2056,15881,16678,32559
2057,15659,16454,32113
2058,15435,16229,31664
2059,15209,16003,31212
2060,14980,15772,30752
2061,14750,15541,30291
2062,14520,15304,29824
2063,14296,15071,29367
2064,14066,14835,28901
2065,13850,14617,28467
