年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-65歲,超過65歲
2014-12,0900701-005,連江縣南竿鄉,仁愛村,113,569,309,260,80,440,49
2014-12,0900701-001,連江縣南竿鄉,介壽村,488,2367,1318,1049,326,1840,201
2014-12,0900701-009,連江縣南竿鄉,四維村,27,175,98,77,13,136,26
2014-12,0900701-002,連江縣南竿鄉,復興村,229,1367,787,580,194,1051,122
2014-12,0900701-006,連江縣南竿鄉,津沙村,72,372,235,137,30,299,43
2014-12,0900701-004,連江縣南竿鄉,清水村,177,880,513,367,150,687,43
2014-12,0900701-008,連江縣南竿鄉,珠螺村,28,207,124,83,24,168,15
2014-12,0900701-003,連江縣南竿鄉,福沃村,176,961,576,385,107,764,90
2014-12,0900701-007,連江縣南竿鄉,馬祖村,118,598,321,277,83,472,43
2014-12,0900702-002,連江縣北竿鄉,后沃村,45,186,106,80,20,140,26
2014-12,0900702-005,連江縣北竿鄉,坂里村,65,322,168,154,38,256,28
2014-12,0900702-001,連江縣北竿鄉,塘岐村,227,1129,619,510,148,899,82
2014-12,0900702-003,連江縣北竿鄉,橋仔村,63,360,193,167,39,287,34
2014-12,0900702-006,連江縣北竿鄉,白沙村,28,137,88,49,23,102,12
2014-12,0900702-004,連江縣北竿鄉,芹壁村,47,186,101,85,18,145,23
2014-12,0900703-005,連江縣莒光鄉,大坪村,86,470,255,215,38,369,63
2014-12,0900703-002,連江縣莒光鄉,田沃村,37,222,142,80,26,176,20
2014-12,0900703-004,連江縣莒光鄉,福正村,41,224,128,96,17,170,37
2014-12,0900703-003,連江縣莒光鄉,西坵村,22,73,41,32,9,50,14
2014-12,0900703-001,連江縣莒光鄉,青帆村,80,435,266,169,44,355,36
2014-12,0900704-001,連江縣東引鄉,中柳村,143,578,330,248,76,457,45
2014-12,0900704-002,連江縣東引鄉,樂華村,162,688,435,253,91,563,34
2014-12,0902001-004,金門縣金城鎮,北門里,1467,4680,2400,2280,607,3616,457
2014-12,0902001-003,金門縣金城鎮,南門里,1877,5995,2971,3024,770,4596,629
2014-12,0902001-005,金門縣金城鎮,古城里,1136,3801,1899,1902,431,2974,396
2014-12,0902001-001,金門縣金城鎮,東門里,1676,5679,2837,2842,739,4398,542
2014-12,0902001-007,金門縣金城鎮,珠沙里,898,2917,1503,1414,248,2324,345
2014-12,0902001-002,金門縣金城鎮,西門里,3357,11071,5449,5622,1487,8542,1042
2014-12,0902001-008,金門縣金城鎮,賢庵里,1378,4673,2399,2274,453,3793,427
2014-12,0902001-006,金門縣金城鎮,金水里,654,2117,1097,1020,178,1711,228
2014-12,0902002-002,金門縣金沙鎮,三山里,605,1959,981,978,162,1508,289
2014-12,0902002-005,金門縣金沙鎮,何斗里,635,2083,1016,1067,223,1616,244
2014-12,0902002-004,金門縣金沙鎮,光前里,813,2450,1208,1242,255,1957,238
2014-12,0902002-003,金門縣金沙鎮,大洋里,398,1241,624,617,122,952,167
2014-12,0902002-007,金門縣金沙鎮,官嶼里,659,2204,1085,1119,185,1711,308
2014-12,0902002-001,金門縣金沙鎮,汶沙里,1720,5488,2719,2769,654,4232,602
2014-12,0902002-008,金門縣金沙鎮,浦山里,738,2482,1195,1287,292,1896,294
2014-12,0902002-006,金門縣金沙鎮,西園里,456,1558,812,746,116,1229,213
2014-12,0902003-002,金門縣金湖鎮,山外里,1071,3747,1839,1908,499,2922,326
2014-12,0902003-004,金門縣金湖鎮,料羅里,502,1895,1017,878,167,1519,209
2014-12,0902003-001,金門縣金湖鎮,新市里,1573,4829,2457,2372,616,3680,533
2014-12,0902003-006,金門縣金湖鎮,新湖里,2389,7778,3932,3846,1007,6256,515
2014-12,0902003-003,金門縣金湖鎮,正義里,797,2586,1317,1269,215,2085,286
2014-12,0902003-007,金門縣金湖鎮,溪湖里,475,1536,778,758,155,1199,182
2014-12,0902003-005,金門縣金湖鎮,瓊林里,989,3293,1626,1667,364,2520,409
2014-12,0902003-008,金門縣金湖鎮,蓮庵里,517,1704,835,869,170,1320,214
2014-12,0902004-001,金門縣金寧鄉,古寧村,1026,3336,1654,1682,294,2530,512
2014-12,0902004-003,金門縣金寧鄉,后盤村,493,1519,754,765,142,1167,210
2014-12,0902004-002,金門縣金寧鄉,安美村,1339,4416,2231,2185,506,3436,474
2014-12,0902004-005,金門縣金寧鄉,榜林村,1516,5083,2583,2500,521,4071,491
2014-12,0902004-004,金門縣金寧鄉,湖埔村,1766,5702,2851,2851,622,4617,463
2014-12,0902004-006,金門縣金寧鄉,盤山村,1521,7251,3720,3531,510,6349,392
2014-12,0902005-001,金門縣烈嶼鄉,上岐村,689,2858,1370,1488,242,2215,401
2014-12,0902005-002,金門縣烈嶼鄉,上林村,408,1485,703,782,146,1148,191
2014-12,0902005-004,金門縣烈嶼鄉,林湖村,894,3520,1831,1689,339,2782,399
2014-12,0902005-003,金門縣烈嶼鄉,西口村,629,2511,1233,1278,224,1984,303
2014-12,0902005-005,金門縣烈嶼鄉,黃埔村,389,1604,773,831,160,1253,191
2014-12,0902006-001,金門縣烏坵鄉,大坵村,52,310,167,143,47,231,32
2014-12,0902006-002,金門縣烏坵鄉,小坵村,82,362,168,194,73,267,22
2014-12,1000201-016,宜蘭縣宜蘭市,七張里,523,1746,922,824,290,1225,231
2014-12,1000201-043,宜蘭縣宜蘭市,七結里,1132,3203,1479,1724,631,2326,246
2014-12,1000201-031,宜蘭縣宜蘭市,中山里,481,1085,557,528,82,789,214
2014-12,1000201-046,宜蘭縣宜蘭市,中興里,1233,3474,1671,1803,472,2632,370
2014-12,1000201-012,宜蘭縣宜蘭市,凱旋里,470,1484,768,716,215,1101,168
2014-12,1000201-026,宜蘭縣宜蘭市,北津里,916,2584,1269,1315,296,2046,242
2014-12,1000201-028,宜蘭縣宜蘭市,北門里,500,1378,711,667,128,1044,206
2014-12,1000201-009,宜蘭縣宜蘭市,南橋里,452,1405,731,674,210,1011,184
2014-12,1000201-011,宜蘭縣宜蘭市,南津里,1014,2430,1180,1250,419,1573,438
2014-12,1000201-034,宜蘭縣宜蘭市,南門里,686,1839,903,936,290,1306,243
2014-12,1000201-045,宜蘭縣宜蘭市,大新里,386,951,462,489,117,647,187
2014-12,1000201-023,宜蘭縣宜蘭市,孝廉里,528,1396,740,656,160,999,237
2014-12,1000201-021,宜蘭縣宜蘭市,小東里,652,1717,874,843,161,1271,285
2014-12,1000201-015,宜蘭縣宜蘭市,延平里,1318,3874,1849,2025,716,2864,294
2014-12,1000201-010,宜蘭縣宜蘭市,建業里,680,1971,1013,958,333,1421,217
2014-12,1000201-037,宜蘭縣宜蘭市,建軍里,751,2108,979,1129,347,1575,186
2014-12,1000201-040,宜蘭縣宜蘭市,復興里,1381,3334,1584,1750,402,2399,533
2014-12,1000201-038,宜蘭縣宜蘭市,思源里,1900,5308,2546,2762,941,4066,301
2014-12,1000201-017,宜蘭縣宜蘭市,慈安里,770,2016,935,1081,231,1588,197
2014-12,1000201-041,宜蘭縣宜蘭市,成功里,1323,3847,1851,1996,725,2828,294
2014-12,1000201-047,宜蘭縣宜蘭市,擺厘里,1354,3384,1586,1798,444,2614,326
2014-12,1000201-039,宜蘭縣宜蘭市,文化里,1453,3945,1877,2068,689,2794,462
2014-12,1000201-042,宜蘭縣宜蘭市,新東里,1402,3931,1831,2100,625,2960,346
2014-12,1000201-018,宜蘭縣宜蘭市,新民里,812,1855,957,898,178,1285,392
2014-12,1000201-024,宜蘭縣宜蘭市,新生里,1016,2996,1524,1472,375,2298,323
2014-12,1000201-014,宜蘭縣宜蘭市,東村里,853,2601,1298,1303,440,1970,191
2014-12,1000201-019,宜蘭縣宜蘭市,東門里,489,1127,585,542,113,789,225
2014-12,1000201-027,宜蘭縣宜蘭市,梅洲里,1204,3659,1884,1775,441,2799,419
2014-12,1000201-036,宜蘭縣宜蘭市,民族里,1099,2963,1451,1512,533,1925,505
2014-12,1000201-002,宜蘭縣宜蘭市,民權里,965,2048,1057,991,245,1525,278
2014-12,1000201-044,宜蘭縣宜蘭市,泰山里,956,2653,1243,1410,477,1933,243
2014-12,1000201-001,宜蘭縣宜蘭市,神農里,1274,3096,1493,1603,369,2282,445
2014-12,1000201-025,宜蘭縣宜蘭市,茭白里,814,2361,1163,1198,326,1839,196
2014-12,1000201-022,宜蘭縣宜蘭市,菜園里,604,1528,740,788,155,1151,222
2014-12,1000201-032,宜蘭縣宜蘭市,西門里,771,2066,1065,1001,233,1489,344
2014-12,1000201-035,宜蘭縣宜蘭市,負郭里,1391,3835,1795,2040,749,2702,384
2014-12,1000201-008,宜蘭縣宜蘭市,進士里,963,2460,1206,1254,282,1862,316
2014-12,1000201-013,宜蘭縣宜蘭市,黎明里,732,2227,1128,1099,373,1627,227
2014-12,1000202-029,宜蘭縣羅東鎮,中山里,670,1673,808,865,233,1101,339
2014-12,1000202-030,宜蘭縣羅東鎮,仁和里,523,1292,625,667,169,899,224
2014-12,1000202-011,宜蘭縣羅東鎮,仁德里,580,1449,717,732,193,1035,221
2014-12,1000202-024,宜蘭縣羅東鎮,仁愛里,1367,4383,2113,2270,785,3248,350
2014-12,1000202-022,宜蘭縣羅東鎮,信義里,1361,3802,1778,2024,729,2610,463
2014-12,1000202-020,宜蘭縣羅東鎮,公正里,1284,3657,1786,1871,719,2454,484
2014-12,1000202-018,宜蘭縣羅東鎮,北成里,1196,3545,1686,1859,653,2554,338
2014-12,1000202-008,宜蘭縣羅東鎮,南昌里,1101,2837,1368,1469,415,2105,317
2014-12,1000202-009,宜蘭縣羅東鎮,南豪里,553,1590,752,838,236,1104,250
2014-12,1000202-026,宜蘭縣羅東鎮,國華里,1903,5623,2600,3023,1110,4029,484
2014-12,1000202-004,宜蘭縣羅東鎮,大新里,753,1852,910,942,285,1319,248
2014-12,1000202-010,宜蘭縣羅東鎮,成功里,627,1814,862,952,288,1259,267
2014-12,1000202-006,宜蘭縣羅東鎮,新群里,1063,3134,1566,1568,476,2360,298
2014-12,1000202-005,宜蘭縣羅東鎮,東安里,1602,4495,2098,2397,863,3297,335
2014-12,1000202-025,宜蘭縣羅東鎮,樹林里,1451,4304,2028,2276,788,3072,444
2014-12,1000202-016,宜蘭縣羅東鎮,漢民里,1707,4764,2273,2491,924,3232,608
2014-12,1000202-023,宜蘭縣羅東鎮,竹林里,1203,3769,1817,1952,639,2625,505
2014-12,1000202-027,宜蘭縣羅東鎮,維揚里,1309,3849,1821,2028,717,2727,405
2014-12,1000202-007,宜蘭縣羅東鎮,羅莊里,1364,3541,1633,1908,482,2784,275
2014-12,1000202-017,宜蘭縣羅東鎮,西安里,1164,3374,1626,1748,458,2571,345
2014-12,1000202-019,宜蘭縣羅東鎮,賢文里,1682,4642,2177,2465,819,3175,648
2014-12,1000202-028,宜蘭縣羅東鎮,開明里,682,1708,833,875,188,1208,312
2014-12,1000202-021,宜蘭縣羅東鎮,集祥里,674,1436,711,725,235,1007,194
2014-12,1000203-018,宜蘭縣蘇澳鎮,南安里,399,1129,591,538,79,828,222
2014-12,1000203-022,宜蘭縣蘇澳鎮,南寧里,418,1279,655,624,97,934,248
2014-12,1000203-023,宜蘭縣蘇澳鎮,南建里,469,1518,775,743,146,1142,230
2014-12,1000203-025,宜蘭縣蘇澳鎮,南強里,366,852,459,393,79,597,176
2014-12,1000203-020,宜蘭縣蘇澳鎮,南成里,436,1336,684,652,117,966,253
2014-12,1000203-019,宜蘭縣蘇澳鎮,南正里,394,1146,575,571,109,831,206
2014-12,1000203-021,宜蘭縣蘇澳鎮,南興里,604,1761,871,890,166,1295,300
2014-12,1000203-004,宜蘭縣蘇澳鎮,存仁里,368,1130,595,535,133,797,200
2014-12,1000203-008,宜蘭縣蘇澳鎮,新城里,519,1537,766,771,191,1133,213
2014-12,1000203-026,宜蘭縣蘇澳鎮,朝陽里,305,703,386,317,41,469,193
2014-12,1000203-024,宜蘭縣蘇澳鎮,東澳里,137,402,211,191,31,297,74
2014-12,1000203-015,宜蘭縣蘇澳鎮,永光里,215,531,262,269,59,355,117
2014-12,1000203-016,宜蘭縣蘇澳鎮,永春里,312,731,382,349,75,528,128
2014-12,1000203-003,宜蘭縣蘇澳鎮,永榮里,1388,4388,2236,2152,661,3223,504
2014-12,1000203-017,宜蘭縣蘇澳鎮,永樂里,195,559,273,286,78,393,88
2014-12,1000203-005,宜蘭縣蘇澳鎮,港邊里,548,1606,855,751,127,1185,294
2014-12,1000203-027,宜蘭縣蘇澳鎮,聖愛里,1140,3305,1646,1659,386,2503,416
2014-12,1000203-009,宜蘭縣蘇澳鎮,聖湖里,879,2787,1418,1369,339,2066,382
2014-12,1000203-011,宜蘭縣蘇澳鎮,蘇北里,465,1249,627,622,136,897,216
2014-12,1000203-012,宜蘭縣蘇澳鎮,蘇南里,213,557,270,287,52,390,115
2014-12,1000203-013,宜蘭縣蘇澳鎮,蘇東里,253,663,333,330,61,521,81
2014-12,1000203-010,宜蘭縣蘇澳鎮,蘇西里,1046,2940,1485,1455,322,2205,413
2014-12,1000203-014,宜蘭縣蘇澳鎮,長安里,250,642,343,299,63,473,106
2014-12,1000203-007,宜蘭縣蘇澳鎮,隘丁里,1056,3289,1667,1622,479,2425,385
2014-12,1000203-002,宜蘭縣蘇澳鎮,頂寮里,330,1124,575,549,132,866,126
2014-12,1000203-001,宜蘭縣蘇澳鎮,龍德里,1271,3854,1998,1856,432,2932,490
2014-12,1000204-021,宜蘭縣頭城鎮,下埔里,394,1142,604,538,132,818,192
2014-12,1000204-022,宜蘭縣頭城鎮,中崙里,393,1271,663,608,143,942,186
2014-12,1000204-023,宜蘭縣頭城鎮,二城里,464,1303,688,615,140,981,182
2014-12,1000204-004,宜蘭縣頭城鎮,合興里,159,411,221,190,41,292,78
2014-12,1000204-011,宜蘭縣頭城鎮,城北里,215,587,306,281,73,413,101
2014-12,1000204-013,宜蘭縣頭城鎮,城南里,268,746,384,362,97,523,126
2014-12,1000204-010,宜蘭縣頭城鎮,城東里,327,895,449,446,95,626,174
2014-12,1000204-012,宜蘭縣頭城鎮,城西里,224,687,355,332,67,478,142
2014-12,1000204-006,宜蘭縣頭城鎮,外澳里,365,1062,560,502,92,791,179
2014-12,1000204-009,宜蘭縣頭城鎮,大坑里,485,1586,805,781,202,1192,192
2014-12,1000204-003,宜蘭縣頭城鎮,大溪里,363,1061,559,502,116,780,165
2014-12,1000204-002,宜蘭縣頭城鎮,大里里,273,791,400,391,88,563,140
2014-12,1000204-016,宜蘭縣頭城鎮,拔雅里,795,2279,1140,1139,363,1668,248
2014-12,1000204-015,宜蘭縣頭城鎮,新建里,834,2460,1248,1212,360,1769,331
2014-12,1000204-005,宜蘭縣頭城鎮,更新里,524,1555,791,764,156,1138,261
2014-12,1000204-008,宜蘭縣頭城鎮,武營里,658,1905,947,958,241,1427,237
2014-12,1000204-007,宜蘭縣頭城鎮,港口里,281,786,407,379,84,587,115
2014-12,1000204-001,宜蘭縣頭城鎮,石城里,127,350,187,163,33,246,71
2014-12,1000204-017,宜蘭縣頭城鎮,福成里,367,1172,648,524,153,822,197
2014-12,1000204-014,宜蘭縣頭城鎮,竹安里,805,2504,1277,1227,275,1912,317
2014-12,1000204-019,宜蘭縣頭城鎮,金盈里,279,879,482,397,107,646,126
2014-12,1000204-018,宜蘭縣頭城鎮,金面里,693,2034,1097,937,229,1521,284
2014-12,1000204-020,宜蘭縣頭城鎮,頂埔里,553,1597,831,766,153,1194,250
2014-12,1000204-024,宜蘭縣頭城鎮,龜山里,227,827,391,436,105,647,75
2014-12,1000205-010,宜蘭縣礁溪鄉,三民村,978,2947,1576,1371,350,2160,437
2014-12,1000205-018,宜蘭縣礁溪鄉,二結村,198,513,285,228,57,375,81
2014-12,1000205-007,宜蘭縣礁溪鄉,二龍村,522,1445,763,682,155,1072,218
2014-12,1000205-014,宜蘭縣礁溪鄉,光武村,556,1526,819,707,155,1150,221
2014-12,1000205-006,宜蘭縣礁溪鄉,六結村,624,1698,880,818,194,1186,318
2014-12,1000205-017,宜蘭縣礁溪鄉,匏崙村,390,1129,611,518,121,844,164
2014-12,1000205-015,宜蘭縣礁溪鄉,吳沙村,1043,2913,1539,1374,328,2190,395
2014-12,1000205-004,宜蘭縣礁溪鄉,大忠村,1294,2937,1442,1495,365,2242,330
2014-12,1000205-005,宜蘭縣礁溪鄉,大義村,271,773,389,384,88,548,137
2014-12,1000205-003,宜蘭縣礁溪鄉,德陽村,1895,4481,2205,2276,550,3306,625
2014-12,1000205-008,宜蘭縣礁溪鄉,時潮村,623,1700,922,778,189,1246,265
2014-12,1000205-011,宜蘭縣礁溪鄉,林美村,472,1388,730,658,170,1031,187
2014-12,1000205-013,宜蘭縣礁溪鄉,玉光村,412,1145,616,529,118,852,175
2014-12,1000205-009,宜蘭縣礁溪鄉,玉田村,952,2478,1320,1158,273,1842,363
2014-12,1000205-002,宜蘭縣礁溪鄉,玉石村,883,2202,1166,1036,244,1649,309
2014-12,1000205-001,宜蘭縣礁溪鄉,白雲村,650,1903,1023,880,244,1394,265
2014-12,1000205-012,宜蘭縣礁溪鄉,白鵝村,352,979,539,440,107,738,134
2014-12,1000205-016,宜蘭縣礁溪鄉,龍潭村,1216,3788,1940,1848,443,2886,459
2014-12,1000206-010,宜蘭縣壯圍鄉,功勞村,496,1467,768,699,163,1098,206
2014-12,1000206-009,宜蘭縣壯圍鄉,古亭村,607,1757,939,818,183,1337,237
2014-12,1000206-014,宜蘭縣壯圍鄉,古結村,443,1209,632,577,114,937,158
2014-12,1000206-001,宜蘭縣壯圍鄉,吉祥村,982,2791,1410,1381,334,2164,293
2014-12,1000206-013,宜蘭縣壯圍鄉,大福村,673,2049,1078,971,218,1562,269
2014-12,1000206-005,宜蘭縣壯圍鄉,復興村,651,1940,1015,925,215,1470,255
2014-12,1000206-008,宜蘭縣壯圍鄉,忠孝村,900,2655,1400,1255,296,2021,338
2014-12,1000206-003,宜蘭縣壯圍鄉,新南村,414,1076,590,486,108,773,195
2014-12,1000206-012,宜蘭縣壯圍鄉,新社村,440,1211,659,552,98,883,230
2014-12,1000206-004,宜蘭縣壯圍鄉,東港村,376,1148,615,533,119,865,164
2014-12,1000206-007,宜蘭縣壯圍鄉,永鎮村,297,931,479,452,87,688,156
2014-12,1000206-011,宜蘭縣壯圍鄉,美城村,845,2425,1317,1108,241,1842,342
2014-12,1000206-002,宜蘭縣壯圍鄉,美福村,705,2036,1091,945,206,1545,285
2014-12,1000206-006,宜蘭縣壯圍鄉,過嶺村,610,1797,942,855,172,1362,263
2014-12,1000207-004,宜蘭縣員山鄉,七賢村,523,1616,872,744,229,1198,189
2014-12,1000207-008,宜蘭縣員山鄉,中華村,307,730,430,300,49,534,147
2014-12,1000207-007,宜蘭縣員山鄉,內城村,634,1708,880,828,179,1263,266
2014-12,1000207-012,宜蘭縣員山鄉,同樂村,912,2851,1547,1304,315,2172,364
2014-12,1000207-001,宜蘭縣員山鄉,員山村,2328,6431,3241,3190,702,5065,664
2014-12,1000207-002,宜蘭縣員山鄉,尚德村,889,2471,1324,1147,207,1896,368
2014-12,1000207-003,宜蘭縣員山鄉,惠好村,614,1825,953,872,241,1350,234
2014-12,1000207-011,宜蘭縣員山鄉,枕山村,908,2680,1448,1232,291,1976,413
2014-12,1000207-009,宜蘭縣員山鄉,永和村,712,2150,1117,1033,237,1647,266
2014-12,1000207-005,宜蘭縣員山鄉,深溝村,800,2080,1110,970,237,1558,285
2014-12,1000207-015,宜蘭縣員山鄉,湖北村,397,1176,635,541,127,826,223
2014-12,1000207-013,宜蘭縣員山鄉,湖東村,364,1029,542,487,119,761,149
2014-12,1000207-016,宜蘭縣員山鄉,湖西村,604,1669,945,724,175,1168,326
2014-12,1000207-006,宜蘭縣員山鄉,蓁巷村,485,1385,748,637,110,1054,221
2014-12,1000207-014,宜蘭縣員山鄉,逸仙村,388,1038,598,440,123,741,174
2014-12,1000207-010,宜蘭縣員山鄉,頭分村,503,1538,817,721,165,1203,170
2014-12,1000208-004,宜蘭縣冬山鄉,三奇村,345,1104,581,523,141,821,142
2014-12,1000208-014,宜蘭縣冬山鄉,中山村,204,550,292,258,46,428,76
2014-12,1000208-013,宜蘭縣冬山鄉,丸山村,546,1631,848,783,155,1246,230
2014-12,1000208-012,宜蘭縣冬山鄉,八寶村,340,1021,547,474,114,759,148
2014-12,1000208-009,宜蘭縣冬山鄉,冬山村,400,947,507,440,113,646,188
2014-12,1000208-008,宜蘭縣冬山鄉,南興村,1182,3738,1846,1892,833,2573,332
2014-12,1000208-005,宜蘭縣冬山鄉,大興村,358,1085,590,495,108,808,169
2014-12,1000208-024,宜蘭縣冬山鄉,大進村,342,949,535,414,103,669,177
2014-12,1000208-011,宜蘭縣冬山鄉,太和村,581,1742,914,828,178,1303,261
2014-12,1000208-010,宜蘭縣冬山鄉,安平村,273,887,456,431,143,618,126
2014-12,1000208-022,宜蘭縣冬山鄉,廣安村,706,1953,988,965,214,1522,217
2014-12,1000208-021,宜蘭縣冬山鄉,廣興村,1038,2897,1468,1429,262,2277,358
2014-12,1000208-020,宜蘭縣冬山鄉,得安村,474,1295,692,603,155,942,198
2014-12,1000208-006,宜蘭縣冬山鄉,東城村,537,1698,874,824,233,1238,227
2014-12,1000208-023,宜蘭縣冬山鄉,柯林村,703,1935,1008,927,216,1509,210
2014-12,1000208-001,宜蘭縣冬山鄉,武淵村,521,1322,710,612,90,1010,222
2014-12,1000208-016,宜蘭縣冬山鄉,永美村,1274,3351,1713,1638,350,2635,366
2014-12,1000208-018,宜蘭縣冬山鄉,清溝村,1546,4455,2202,2253,681,3296,478
2014-12,1000208-002,宜蘭縣冬山鄉,珍珠村,610,1870,956,914,248,1394,228
2014-12,1000208-017,宜蘭縣冬山鄉,群英村,2008,5467,2750,2717,620,4032,815
2014-12,1000208-003,宜蘭縣冬山鄉,補城村,475,1369,708,661,182,1006,181
2014-12,1000208-015,宜蘭縣冬山鄉,順安村,2042,5763,2956,2807,573,4550,640
2014-12,1000208-007,宜蘭縣冬山鄉,香和村,1122,3771,1889,1882,848,2576,347
2014-12,1000208-019,宜蘭縣冬山鄉,鹿埔村,935,2682,1480,1202,241,2111,330
2014-12,1000209-001,宜蘭縣五結鄉,三興村,801,2216,1183,1033,212,1677,327
2014-12,1000209-004,宜蘭縣五結鄉,上四村,723,1758,901,857,112,1341,305
2014-12,1000209-005,宜蘭縣五結鄉,中興村,587,1484,755,729,118,1169,197
2014-12,1000209-002,宜蘭縣五結鄉,二結村,717,2049,1022,1027,200,1574,275
2014-12,1000209-008,宜蘭縣五結鄉,五結村,1452,4043,2111,1932,435,3101,507
2014-12,1000209-013,宜蘭縣五結鄉,利澤村,835,2414,1234,1180,245,1835,334
2014-12,1000209-010,宜蘭縣五結鄉,協和村,1304,3577,1855,1722,371,2813,393
2014-12,1000209-006,宜蘭縣五結鄉,四結村,1122,2728,1379,1349,242,2098,388
2014-12,1000209-009,宜蘭縣五結鄉,大吉村,1365,3999,2063,1936,500,3059,440
2014-12,1000209-011,宜蘭縣五結鄉,孝威村,590,1700,902,798,178,1252,270
2014-12,1000209-015,宜蘭縣五結鄉,季新村,1134,3346,1742,1604,380,2555,411
2014-12,1000209-014,宜蘭縣五結鄉,成興村,1188,3516,1804,1712,454,2644,418
2014-12,1000209-007,宜蘭縣五結鄉,福興村,720,2020,1058,962,178,1556,286
2014-12,1000209-012,宜蘭縣五結鄉,錦眾村,583,1719,913,806,173,1248,298
2014-12,1000209-003,宜蘭縣五結鄉,鎮安村,982,2809,1479,1330,289,2205,315
2014-12,1000210-005,宜蘭縣三星鄉,人和村,195,530,273,257,56,363,111
2014-12,1000210-001,宜蘭縣三星鄉,員山村,103,255,139,116,7,198,50
2014-12,1000210-017,宜蘭縣三星鄉,大洲村,641,1785,979,806,202,1310,273
2014-12,1000210-015,宜蘭縣三星鄉,大義村,553,1331,714,617,105,1026,200
2014-12,1000210-010,宜蘭縣三星鄉,大隱村,1762,4596,2432,2164,429,3584,583
2014-12,1000210-002,宜蘭縣三星鄉,天山村,244,633,343,290,61,412,160
2014-12,1000210-003,宜蘭縣三星鄉,天福村,297,894,488,406,95,608,191
2014-12,1000210-016,宜蘭縣三星鄉,尚武村,362,871,469,402,69,635,167
2014-12,1000210-018,宜蘭縣三星鄉,尾塹村,546,1618,877,741,191,1185,242
2014-12,1000210-009,宜蘭縣三星鄉,拱照村,658,1452,832,620,123,1094,235
2014-12,1000210-008,宜蘭縣三星鄉,月眉村,369,1038,560,478,134,724,180
2014-12,1000210-006,宜蘭縣三星鄉,義德村,535,1392,752,640,163,975,254
2014-12,1000210-014,宜蘭縣三星鄉,萬富村,336,829,463,366,66,606,157
2014-12,1000210-012,宜蘭縣三星鄉,萬德村,255,682,379,303,55,515,112
2014-12,1000210-011,宜蘭縣三星鄉,行健村,352,917,482,435,70,705,142
2014-12,1000210-013,宜蘭縣三星鄉,貴林村,217,565,294,271,63,427,75
2014-12,1000210-007,宜蘭縣三星鄉,集慶村,483,1416,715,701,145,1022,249
2014-12,1000210-004,宜蘭縣三星鄉,雙賢村,259,699,385,314,71,472,156
2014-12,1000211-009,宜蘭縣大同鄉,南山村,253,868,465,403,202,620,46
2014-12,1000211-008,宜蘭縣大同鄉,四季村,298,1021,530,491,233,707,81
2014-12,1000211-007,宜蘭縣大同鄉,太平村,29,77,51,26,2,60,15
2014-12,1000211-001,宜蘭縣大同鄉,寒溪村,345,1099,574,525,215,786,98
2014-12,1000211-002,宜蘭縣大同鄉,崙埤村,225,730,398,332,125,558,47
2014-12,1000211-004,宜蘭縣大同鄉,復興村,110,329,185,144,43,241,45
2014-12,1000211-003,宜蘭縣大同鄉,松羅村,250,850,468,382,151,643,56
2014-12,1000211-006,宜蘭縣大同鄉,樂水村,153,502,287,215,93,367,42
2014-12,1000211-005,宜蘭縣大同鄉,英士村,150,431,236,195,80,314,37
2014-12,1000211-010,宜蘭縣大同鄉,茂安村,71,220,124,96,35,168,17
2014-12,1000212-001,宜蘭縣南澳鄉,南澳村,490,1569,831,738,296,1144,129
2014-12,1000212-003,宜蘭縣南澳鄉,東岳村,174,592,289,303,123,430,39
2014-12,1000212-005,宜蘭縣南澳鄉,武塔村,196,549,301,248,87,405,57
2014-12,1000212-007,宜蘭縣南澳鄉,澳花村,291,972,518,454,229,675,68
2014-12,1000212-002,宜蘭縣南澳鄉,碧候村,372,1269,674,595,280,896,93
2014-12,1000212-004,宜蘭縣南澳鄉,金岳村,173,570,280,290,137,390,43
2014-12,1000212-006,宜蘭縣南澳鄉,金洋村,206,626,336,290,145,441,40
2014-12,1000401-004,新竹縣竹北市,中興里,2994,7287,3639,3648,1902,5093,292
2014-12,1000401-024,新竹縣竹北市,北崙里,1642,5150,2504,2646,1213,3659,278
2014-12,1000401-028,新竹縣竹北市,北興里,503,1181,590,591,272,841,68
2014-12,1000401-021,新竹縣竹北市,十興里,3584,9701,4690,5011,3505,5925,271
2014-12,1000401-019,新竹縣竹北市,大眉里,717,2055,1050,1005,271,1603,181
2014-12,1000401-017,新竹縣竹北市,大義里,588,1893,1003,890,245,1411,237
2014-12,1000401-020,新竹縣竹北市,尚義里,594,1883,1002,881,265,1338,280
2014-12,1000401-018,新竹縣竹北市,崇義里,734,2330,1227,1103,347,1702,281
2014-12,1000401-030,新竹縣竹北市,文化里,1529,4465,2150,2315,1135,3112,218
2014-12,1000401-001,新竹縣竹北市,斗崙里,5229,14247,6908,7339,3924,9813,510
2014-12,1000401-022,新竹縣竹北市,新國里,1973,5962,3030,2932,956,4510,496
2014-12,1000401-025,新竹縣竹北市,新崙里,2439,7047,3637,3410,1149,5431,467
2014-12,1000401-023,新竹縣竹北市,新庄里,387,1298,681,617,151,992,155
2014-12,1000401-016,新竹縣竹北市,新港里,430,1459,753,706,213,1052,194
