year,male,female,total
2019,12814,11192,24006
2020,12712,11128,23840
2021,12605,11073,23678
2022,12498,11011,23509
2023,12388,10946,23334
2024,12275,10873,23148
2025,12164,10810,22974
2026,12050,10744,22794
2027,11933,10675,22608
2028,11817,10601,22418
2029,11696,10523,22219
2030,11571,10444,22015
2031,11444,10359,21803
2032,11307,10276,21583
2033,11170,10186,21356
2034,11031,10092,21123
2035,10899,10010,20909
2036,10761,9926,20687
2037,10618,9829,20447
2038,10472,9729,20201
2039,10314,9625,19939
2040,10149,9517,19666
2041,9981,9404,19385
2042,9810,9289,19099
2043,9640,9168,18808
2044,9462,9044,18506
2045,9301,8933,18234
2046,9134,8818,17952
2047,8968,8699,17667
2048,8798,8581,17379
2049,8630,8458,17088
2050,8465,8333,16798
2051,8298,8205,16503
2052,8130,8077,16207
2053,7966,7951,15917
2054,7806,7829,15635
2055,7661,7715,15376
2056,7513,7596,15109
2057,7369,7481,14850
2058,7227,7364,14591
2059,7090,7247,14337
2060,6956,7130,14086
2061,6822,7010,13832
2062,6693,6892,13585
2063,6562,6782,13344
2064,6438,6668,13106
2065,6321,6561,12882
