year,age_range,male,female,total
2019,0-4,7077,6657,13734
2019,5-9,7702,7079,14781
2019,10-14,9549,8552,18101
2019,15-19,14603,13141,27744
2019,20-24,17577,16058,33635
2019,25-29,18022,15971,33993
2019,30-34,16799,14080,30879
2019,35-39,19144,17343,36487
2019,40-44,19070,17866,36936
2019,45-49,19654,17445,37099
2019,50-54,22540,18427,40967
2019,55-59,23908,19160,43068
2019,60-64,20385,17297,37682
2019,65-69,16027,14952,30979
2019,70-74,9431,10302,19733
2019,75-79,8281,10266,18547
2019,80-84,6506,8772,15278
2019,85-89,3619,5886,9505
2019,90-94,1242,2278,3520
2019,95-99,239,493,732
2019,100+,32,53,85
2020,0-4,7264,6855,14119
2020,5-9,7718,7117,14835
2020,10-14,8795,7873,16668
2020,15-19,13264,12033,25297
2020,20-24,17533,15816,33349
2020,25-29,17938,16239,34177
2020,30-34,16931,14204,31135
2020,35-39,18779,16696,35475
2020,40-44,19362,18106,37468
2020,45-49,18681,17177,35858
2020,50-54,22094,18241,40335
2020,55-59,23732,19061,42793
2020,60-64,20965,17541,38506
2020,65-69,16976,15727,32703
2020,70-74,10335,10965,21300
2020,75-79,7755,9571,17326
2020,80-84,6516,8992,15508
2020,85-89,3781,5974,9755
2020,90-94,1435,2600,4035
2020,95-99,271,528,799
2020,100+,0,0,0
2021,0-4,7428,7031,14459
2021,5-9,7661,7028,14689
2021,10-14,8294,7525,15819
2021,15-19,12137,10947,23084
2021,20-24,16978,15334,32312
2021,25-29,18113,16511,34624
2021,30-34,17174,14598,31772
2021,35-39,18087,15606,33693
2021,40-44,19317,18209,37526
2021,45-49,18493,17137,35630
2021,50-54,21356,18011,39367
2021,55-59,23435,19014,42449
2021,60-64,21537,17888,39425
2021,65-69,17364,15844,33208
2021,70-74,11856,12348,24204
2021,75-79,7238,8893,16131
2021,80-84,6521,9036,15557
2021,85-89,3880,6122,10002
2021,90-94,1574,2817,4391
2021,95-99,312,596,908
2021,100+,0,0,0
2022,0-4,7647,7169,14816
2022,5-9,7365,6846,14211
2022,10-14,8165,7427,15592
2022,15-19,11055,9989,21044
