year,male,female,total
2019,14333,12537,26870
2020,14258,12485,26743
2021,14182,12439,26621
2022,14103,12388,26491
2023,14012,12330,26342
2024,13925,12265,26190
2025,13838,12209,26047
2026,13750,12151,25901
2027,13659,12093,25752
2028,13561,12025,25586
2029,13458,11957,25415
2030,13351,11883,25234
2031,13238,11800,25038
2032,13110,11715,24825
2033,12978,11630,24608
2034,12845,11540,24385
2035,12717,11465,24182
2036,12581,11384,23965
2037,12440,11297,23737
2038,12288,11205,23493
2039,12134,11111,23245
2040,11974,11011,22985
2041,11809,10912,22721
2042,11637,10810,22447
2043,11464,10700,22164
2044,11281,10587,21868
2045,11106,10484,21590
2046,10930,10379,21309
2047,10752,10269,21021
2048,10574,10155,20729
2049,10392,10040,20432
2050,10206,9924,20130
2051,10025,9803,19828
2052,9838,9677,19515
2053,9654,9553,19207
2054,9471,9423,18894
2055,9295,9302,18597
2056,9117,9181,18298
2057,8945,9056,18001
2058,8772,8930,17702
2059,8598,8800,17398
2060,8428,8669,17097
2061,8261,8534,16795
2062,8092,8398,16490
2063,7927,8259,16186
2064,7765,8120,15885
2065,7611,7989,15600
