year,male,female,total
2019,647673,625266,1272939
2020,646730,625326,1272056
2021,645610,625303,1270913
2022,644285,625094,1269379
2023,642752,624691,1267443
2024,641021,624115,1265136
2025,639453,623742,1263195
2026,637685,623187,1260872
2027,635708,622438,1258146
2028,633477,621476,1254953
2029,630989,620270,1251259
2030,628223,618819,1247042
2031,625178,617126,1242304
2032,621841,615176,1237017
2033,618225,612979,1231204
2034,614333,610522,1224855
2035,610803,608492,1219295
2036,606960,606147,1213107
2037,602820,603524,1206344
2038,598411,600629,1199040
2039,593727,597438,1191165
2040,588770,593959,1182729
2041,583574,590225,1173799
2042,578184,586250,1164434
2043,572607,582034,1154641
2044,566856,577592,1144448
2045,561511,573591,1135102
2046,555982,569325,1125307
2047,550247,564739,1114986
2048,544369,559915,1104284
2049,538348,554841,1093189
2050,532231,549611,1081842
2051,525981,544132,1070113
2052,519639,538532,1058171
2053,513228,532795,1046023
2054,506740,526924,1033664
2055,500654,521495,1022149
2056,494480,515904,1010384
2057,488265,510255,998520
2058,481936,504417,986353
2059,475536,498438,973974
2060,469089,492361,961450
2061,462568,486183,948751
2062,456003,479924,935927
2063,449381,473577,922958
2064,442726,467142,909868
2065,436355,461092,897447
