year,male,female,total
2019,95469,108597,204066
2020,95034,108359,203393
2021,94603,108116,202719
2022,94142,107838,201980
2023,93656,107515,201171
2024,93140,107150,200290
2025,92662,106821,199483
2026,92161,106454,198615
2027,91630,106047,197677
2028,91076,105598,196674
2029,90499,105110,195609
2030,89892,104584,194476
2031,89256,104017,193273
2032,88598,103416,192014
2033,87927,102783,190710
2034,87232,102111,189343
2035,86628,101530,188158
2036,86001,100911,186912
2037,85356,100253,185609
2038,84688,99559,184247
2039,84004,98831,182835
2040,83305,98055,181360
2041,82588,97241,179829
2042,81854,96386,178240
2043,81098,95490,176588
2044,80328,94547,174875
2045,79626,93700,173326
2046,78896,92799,171695
2047,78133,91841,169974
2048,77349,90832,168181
2049,76539,89784,166323
2050,75707,88697,164404
2051,74854,87566,162420
2052,73980,86413,160393
2053,73094,85237,158331
2054,72193,84053,156246
2055,71344,82941,154285
2056,70480,81805,152285
2057,69604,80646,150250
2058,68717,79464,148181
2059,67822,78269,146091
2060,66927,77070,143997
2061,66026,75854,141880
2062,65122,74623,139745
2063,64219,73387,137606
2064,63321,72152,135473
2065,62475,70992,133467
