year,male,female,total
2019,20402,19068,39470
2020,20328,19023,39351
2021,20249,18980,39229
2022,20162,18929,39091
2023,20071,18870,38941
2024,19972,18801,38773
2025,19881,18743,38624
2026,19782,18681,38463
2027,19682,18608,38290
2028,19568,18531,38099
2029,19449,18446,37895
2030,19326,18355,37681
2031,19195,18254,37449
2032,19057,18149,37206
2033,18908,18040,36948
2034,18747,17920,36667
2035,18609,17828,36437
2036,18452,17722,36174
2037,18294,17613,35907
2038,18129,17496,35625
2039,17954,17371,35325
2040,17773,17239,35012
2041,17585,17099,34684
2042,17386,16956,34342
2043,17182,16800,33982
2044,16973,16640,33613
2045,16776,16499,33275
2046,16576,16348,32924
2047,16365,16193,32558
2048,16149,16026,32175
2049,15923,15854,31777
2050,15697,15674,31371
2051,15473,15488,30961
2052,15244,15307,30551
2053,15018,15122,30140
2054,14793,14936,29729
2055,14581,14768,29349
2056,14370,14594,28964
2057,14156,14421,28577
2058,13942,14242,28184
2059,13730,14055,27785
2060,13519,13871,27390
2061,13309,13682,26991
2062,13101,13492,26593
2063,12892,13302,26194
2064,12688,13110,25798
2065,12495,12933,25428
