year,male,female,total
2019,49624,49627,99251
2020,49508,49608,99116
2021,49394,49582,98976
2022,49268,49558,98826
2023,49130,49512,98642
2024,48988,49454,98442
2025,48865,49417,98282
2026,48725,49365,98090
2027,48577,49298,97875
2028,48408,49214,97622
2029,48220,49105,97325
2030,48014,48969,96983
2031,47783,48816,96599
2032,47527,48638,96165
2033,47246,48435,95681
2034,46944,48207,95151
2035,46668,48014,94682
2036,46367,47786,94153
2037,46043,47539,93582
2038,45691,47269,92960
2039,45310,46968,92278
2040,44915,46637,91552
2041,44494,46281,90775
2042,44059,45903,89962
2043,43607,45505,89112
2044,43141,45078,88219
2045,42700,44692,87392
2046,42243,44277,86520
2047,41773,43835,85608
2048,41288,43366,84654
2049,40796,42879,83675
2050,40297,42376,82673
2051,39797,41862,81659
2052,39292,41338,80630
2053,38790,40805,79595
2054,38285,40270,78555
2055,37818,39778,77596
2056,37347,39280,76627
2057,36876,38779,75655
2058,36400,38272,74672
2059,35921,37755,73676
2060,35446,37243,72689
2061,34963,36725,71688
2062,34476,36204,70680
2063,33986,35685,69671
2064,33495,35175,68670
2065,33025,34695,67720
