year,male,female,total
2019,10640,9844,20484
2020,10592,9827,20419
2021,10542,9812,20354
2022,10489,9787,20276
2023,10434,9759,20193
2024,10373,9729,20102
2025,10319,9699,20018
2026,10259,9670,19929
2027,10197,9643,19840
2028,10131,9606,19737
2029,10062,9562,19624
2030,9986,9514,19500
2031,9904,9464,19368
2032,9819,9414,19233
2033,9725,9360,19085
2034,9627,9298,18925
2035,9535,9248,18783
2036,9436,9186,18622
2037,9334,9120,18454
2038,9227,9048,18275
2039,9118,8972,18090
2040,9002,8889,17891
2041,8881,8808,17689
2042,8760,8725,17485
2043,8638,8635,17273
2044,8511,8540,17051
2045,8396,8456,16852
2046,8278,8371,16649
2047,8161,8283,16444
2048,8040,8193,16233
2049,7916,8100,16016
2050,7795,8003,15798
2051,7672,7901,15573
2052,7552,7798,15350
2053,7436,7699,15135
2054,7317,7594,14911
2055,7207,7500,14707
2056,7097,7400,14497
2057,6991,7304,14295
2058,6883,7208,14091
2059,6776,7110,13886
2060,6669,7013,13682
2061,6560,6911,13471
2062,6455,6811,13266
2063,6347,6715,13062
2064,6242,6617,12859
2065,6145,6527,12672
