year,male,female,total
2019,44061,42808,86869
2020,44054,42854,86908
2021,44029,42896,86925
2022,43993,42922,86915
2023,43941,42933,86874
2024,43871,42937,86808
2025,43809,42948,86757
2026,43736,42948,86684
2027,43646,42939,86585
2028,43542,42910,86452
2029,43419,42869,86288
2030,43282,42813,86095
2031,43130,42742,85872
2032,42962,42654,85616
2033,42770,42553,85323
2034,42562,42433,84995
2035,42380,42341,84721
2036,42178,42232,84410
2037,41963,42106,84069
2038,41729,41967,83696
2039,41478,41804,83282
2040,41214,41630,82844
2041,40926,41437,82363
2042,40629,41230,81859
2043,40313,41006,81319
2044,39991,40763,80754
2045,39689,40548,80237
2046,39371,40306,79677
2047,39036,40043,79079
2048,38688,39768,78456
2049,38331,39470,77801
2050,37960,39159,77119
2051,37579,38826,76405
2052,37184,38479,75663
2053,36779,38124,74903
2054,36364,37751,74115
2055,35973,37409,73382
2056,35573,37055,72628
2057,35169,36690,71859
2058,34754,36315,71069
2059,34333,35922,70255
2060,33908,35522,69430
2061,33475,35110,68585
2062,33041,34693,67734
2063,32599,34268,66867
2064,32151,33836,65987
2065,31725,33424,65149
