year,male,female,total
2019,7839,7051,14890
2020,7790,7019,14809
2021,7742,6989,14731
2022,7690,6955,14645
2023,7637,6922,14559
2024,7576,6885,14461
2025,7516,6851,14367
2026,7451,6810,14261
2027,7389,6773,14162
2028,7328,6733,14061
2029,7263,6691,13954
2030,7191,6644,13835
2031,7121,6595,13716
2032,7042,6547,13589
2033,6960,6495,13455
2034,6880,6436,13316
2035,6804,6391,13195
2036,6727,6336,13063
2037,6647,6280,12927
2038,6564,6226,12790
2039,6478,6171,12649
2040,6391,6109,12500
2041,6302,6045,12347
2042,6209,5982,12191
2043,6116,5916,12032
2044,6026,5849,11875
2045,5940,5791,11731
2046,5849,5728,11577
2047,5757,5664,11421
2048,5666,5597,11263
2049,5576,5528,11104
2050,5487,5462,10949
2051,5393,5395,10788
2052,5304,5328,10632
2053,5215,5259,10474
2054,5123,5189,10312
2055,5035,5126,10161
2056,4950,5062,10012
2057,4868,5000,9868
2058,4787,4931,9718
2059,4706,4863,9569
2060,4626,4793,9419
2061,4547,4723,9270
2062,4466,4653,9119
2063,4388,4583,8971
2064,4314,4511,8825
2065,4240,4444,8684
