year,male,female,total
2019,88964,97032,185996
2020,88885,97137,186022
2021,88786,97215,186001
2022,88663,97263,185926
2023,88514,97274,185788
2024,88341,97255,185596
2025,88190,97261,185451
2026,88016,97235,185251
2027,87821,97183,185004
2028,87601,97093,184694
2029,87335,96962,184297
2030,87033,96791,183824
2031,86694,96571,183265
2032,86327,96317,182644
2033,85932,96019,181951
2034,85489,95672,181161
2035,85098,95382,180480
2036,84663,95042,179705
2037,84193,94651,178844
2038,83687,94219,177906
2039,83143,93726,176869
2040,82562,93185,175747
2041,81946,92585,174531
2042,81290,91938,173228
2043,80595,91233,171828
2044,79865,90469,170334
2045,79182,89771,168953
2046,78468,89020,167488
2047,77717,88203,165920
2048,76926,87316,164242
2049,76099,86374,162473
2050,75257,85401,160658
2051,74398,84374,158772
2052,73522,83320,156842
2053,72634,82239,154873
2054,71740,81143,152883
2055,70893,80120,151013
2056,70043,79068,149111
2057,69186,77990,147176
2058,68323,76903,145226
2059,67462,75794,143256
2060,66598,74680,141278
2061,65729,73554,139283
2062,64862,72417,137279
2063,63988,71271,135259
2064,63117,70138,133255
2065,62294,69076,131370
