年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-64歲,超過64歲,超過20歲,18-19歲
2018-02,65000010-001,新北市板橋區,留侯里,675,1645,772,873,217,1175,253,1351,39
2018-02,65000010-002,新北市板橋區,流芳里,635,1556,724,832,221,1060,275,1266,26
2018-02,65000010-003,新北市板橋區,赤松里,315,823,402,421,137,538,148,641,18
2018-02,65000010-004,新北市板橋區,黃石里,427,1138,562,576,195,747,196,893,18
2018-02,65000010-005,新北市板橋區,挹秀里,785,1891,908,983,273,1281,337,1541,36
2018-02,65000010-006,新北市板橋區,湳興里,2321,5597,2677,2920,670,4129,798,4650,114
2018-02,65000010-007,新北市板橋區,新興里,1511,3333,1597,1736,361,2424,548,2825,55
2018-02,65000010-008,新北市板橋區,社後里,4917,9175,5110,4065,637,7146,1392,8192,134
2018-02,65000010-009,新北市板橋區,香社里,1594,4470,2238,2232,512,3336,622,3717,112
2018-02,65000010-010,新北市板橋區,中正里,1619,4502,2206,2296,582,3360,560,3682,97
2018-02,65000010-011,新北市板橋區,自強里,2056,5385,2618,2767,664,3650,1071,4542,68
2018-02,65000010-012,新北市板橋區,自立里,1096,2945,1428,1517,352,2119,474,2450,52
2018-02,65000010-013,新北市板橋區,光華里,1112,2794,1376,1418,323,2020,451,2344,60
2018-02,65000010-014,新北市板橋區,國光里,1554,3803,1832,1971,290,2802,711,3279,94
2018-02,65000010-015,新北市板橋區,港尾里,1111,3039,1437,1602,428,2265,346,2445,62
2018-02,65000010-016,新北市板橋區,金華里,1472,4161,2024,2137,525,3023,613,3459,81
2018-02,65000010-017,新北市板橋區,港德里,1936,5025,2473,2552,592,3589,844,4191,95
2018-02,65000010-018,新北市板橋區,民權里,1083,2752,1352,1400,305,1884,563,2333,42
2018-02,65000010-019,新北市板橋區,建國里,1434,3720,1787,1933,412,2692,616,3118,68
2018-02,65000010-020,新北市板橋區,漢生里,1665,4415,2145,2270,651,2995,769,3577,71
2018-02,65000010-021,新北市板橋區,公舘里,1479,4047,1998,2049,567,2882,598,3216,103
2018-02,65000010-022,新北市板橋區,新民里,1737,4638,2266,2372,757,3219,662,3631,84
2018-02,65000010-023,新北市板橋區,幸福里,1519,4133,2057,2076,490,3010,633,3417,98
2018-02,65000010-024,新北市板橋區,忠誠里,1699,4252,2058,2194,538,2977,737,3478,94
2018-02,65000010-025,新北市板橋區,百壽里,1097,2774,1326,1448,451,1920,403,2173,58
2018-02,65000010-026,新北市板橋區,介壽里,1236,3201,1527,1674,482,2191,528,2559,72
2018-02,65000010-027,新北市板橋區,新埔里,876,2151,1040,1111,212,1551,388,1851,39
2018-02,65000010-028,新北市板橋區,華江里,3194,7806,3618,4188,1442,5535,829,5953,158
2018-02,65000010-029,新北市板橋區,江翠里,1843,4976,2467,2509,552,3716,708,4149,110
2018-02,65000010-030,新北市板橋區,純翠里,2100,5659,2763,2896,657,4244,758,4721,112
2018-02,65000010-031,新北市板橋區,溪頭里,2427,6234,3078,3156,758,4607,869,5139,135
2018-02,65000010-032,新北市板橋區,聯翠里,1662,3793,1797,1996,419,2798,576,3162,79
2018-02,65000010-033,新北市板橋區,宏翠里,2184,4940,2340,2600,571,3804,565,4144,87
2018-02,65000010-034,新北市板橋區,仁翠里,1108,3001,1448,1553,316,2192,493,2548,48
2018-02,65000010-035,新北市板橋區,新翠里,3083,8112,3897,4215,952,6277,883,6666,205
2018-02,65000010-036,新北市板橋區,吉翠里,1364,3893,1911,1982,482,2917,494,3235,75
2018-02,65000010-037,新北市板橋區,德翠里,2725,7643,3737,3906,1147,5868,628,6049,172
2018-02,65000010-038,新北市板橋區,滿翠里,1136,3057,1473,1584,308,2240,509,2595,59
2018-02,65000010-039,新北市板橋區,明翠里,1942,4926,2395,2531,509,3632,785,4177,88
2018-02,65000010-040,新北市板橋區,松翠里,1384,3496,1685,1811,407,2589,500,2910,76
2018-02,65000010-041,新北市板橋區,柏翠里,1768,4272,2035,2237,550,3104,618,3514,85
2018-02,65000010-042,新北市板橋區,龍翠里,2019,5284,2570,2714,592,4016,676,4414,104
2018-02,65000010-043,新北市板橋區,華翠里,1391,3840,1837,2003,604,2746,490,3052,78
2018-02,65000010-044,新北市板橋區,忠翠里,4433,10978,5176,5802,1795,8160,1023,8491,274
2018-02,65000010-045,新北市板橋區,嵐翠里,972,2590,1298,1292,289,1911,390,2171,52
2018-02,65000010-046,新北市板橋區,文翠里,1587,4186,2067,2119,444,3110,632,3526,88
