year,male,female,total
2019,10994,10926,21920
2020,10950,10914,21864
2021,10902,10902,21804
2022,10848,10888,21736
2023,10790,10866,21656
2024,10729,10843,21572
2025,10673,10821,21494
2026,10614,10796,21410
2027,10545,10768,21313
2028,10474,10729,21203
2029,10400,10688,21088
2030,10325,10645,20970
2031,10246,10595,20841
2032,10157,10535,20692
2033,10064,10473,20537
2034,9964,10402,20366
2035,9869,10343,20212
2036,9769,10277,20046
2037,9664,10206,19870
2038,9557,10127,19684
2039,9440,10040,19480
2040,9320,9949,19269
2041,9193,9853,19046
2042,9065,9752,18817
2043,8933,9648,18581
2044,8798,9539,18337
2045,8671,9436,18107
2046,8543,9333,17876
2047,8417,9226,17643
2048,8286,9115,17401
2049,8153,8997,17150
2050,8024,8877,16901
2051,7889,8753,16642
2052,7755,8621,16376
2053,7627,8492,16119
2054,7498,8361,15859
2055,7383,8242,15625
2056,7260,8120,15380
2057,7141,8000,15141
2058,7024,7873,14897
2059,6911,7748,14659
2060,6794,7623,14417
2061,6678,7495,14173
2062,6566,7364,13930
2063,6454,7236,13690
2064,6343,7108,13451
2065,6241,6988,13229
