year,male,female,total
2019,81034,87869,168903
2020,80771,87804,168575
2021,80478,87702,168180
2022,80156,87560,167716
2023,79793,87374,167167
2024,79393,87144,166537
2025,79010,86925,165935
2026,78601,86664,165265
2027,78147,86360,164507
2028,77655,86005,163660
2029,77125,85600,162725
2030,76557,85142,161699
2031,75955,84636,160591
2032,75310,84074,159384
2033,74634,83463,158097
2034,73917,82805,156722
2035,73265,82219,155484
2036,72580,81584,154164
2037,71866,80903,152769
2038,71124,80174,151298
2039,70351,79400,149751
2040,69556,78582,148138
2041,68745,77723,146468
2042,67919,76831,144750
2043,67080,75909,142989
2044,66222,74948,141170
2045,65436,74072,139508
2046,64638,73164,137802
2047,63823,72211,136034
2048,62997,71223,134220
2049,62160,70212,132372
2050,61319,69181,130500
2051,60470,68131,128601
2052,59627,67081,126708
2053,58779,66034,124813
2054,57933,64988,122921
2055,57147,64018,121165
2056,56353,63048,119401
2057,55555,62073,117628
2058,54753,61093,115846
2059,53950,60114,114064
2060,53146,59137,112283
2061,52336,58163,110499
2062,51513,57180,108693
2063,50690,56205,106895
2064,49868,55232,105100
2065,49080,54323,103403
