year,male,female,total
2019,14123,12311,26434
2020,14036,12252,26288
2021,13945,12191,26136
2022,13850,12129,25979
2023,13749,12063,25812
2024,13646,11990,25636
2025,13549,11929,25478
2026,13456,11865,25321
2027,13360,11805,25165
2028,13257,11737,24994
2029,13151,11666,24817
2030,13038,11589,24627
2031,12919,11512,24431
2032,12799,11430,24229
2033,12672,11343,24015
2034,12539,11253,23792
2035,12419,11183,23602
2036,12289,11104,23393
2037,12156,11021,23177
2038,12018,10934,22952
2039,11867,10842,22709
2040,11718,10745,22463
2041,11562,10648,22210
2042,11403,10548,21951
2043,11239,10447,21686
2044,11072,10341,21413
2045,10917,10248,21165
2046,10754,10151,20905
2047,10593,10048,20641
2048,10433,9948,20381
2049,10274,9845,20119
2050,10112,9739,19851
2051,9947,9635,19582
2052,9784,9531,19315
2053,9622,9422,19044
2054,9459,9315,18774
2055,9306,9216,18522
2056,9154,9116,18270
2057,9008,9015,18023
2058,8861,8908,17769
2059,8711,8797,17508
2060,8564,8684,17248
2061,8418,8571,16989
2062,8271,8459,16730
2063,8126,8343,16469
2064,7988,8230,16218
2065,7858,8119,15977
