year,male,female,total
2019,35911,35055,70966
2020,35854,35042,70896
2021,35784,35025,70809
2022,35700,34995,70695
2023,35604,34957,70561
2024,35502,34914,70416
2025,35408,34883,70291
2026,35312,34841,70153
2027,35203,34790,69993
2028,35085,34732,69817
2029,34958,34665,69623
2030,34823,34587,69410
2031,34679,34504,69183
2032,34518,34407,68925
2033,34353,34305,68658
2034,34169,34195,68364
2035,34009,34104,68113
2036,33833,34000,67833
2037,33635,33879,67514
2038,33427,33742,67169
2039,33208,33592,66800
2040,32973,33420,66393
2041,32725,33237,65962
2042,32459,33038,65497
2043,32177,32825,65002
2044,31888,32600,64488
2045,31618,32394,64012
2046,31329,32165,63494
2047,31026,31921,62947
2048,30710,31665,62375
2049,30383,31390,61773
2050,30048,31106,61154
2051,29703,30804,60507
2052,29347,30493,59840
2053,28989,30175,59164
2054,28622,29845,58467
2055,28276,29539,57815
2056,27931,29221,57152
2057,27581,28900,56481
2058,27229,28568,55797
2059,26872,28232,55104
2060,26513,27891,54404
2061,26155,27539,53694
2062,25791,27184,52975
2063,25425,26819,52244
2064,25059,26451,51510
2065,24713,26104,50817
