year,male,female,total
2019,129865,137907,267772
2020,129691,137951,267642
2021,129504,137976,267480
2022,129280,137955,267235
2023,129029,137890,266919
2024,128743,137786,266529
2025,128505,137734,266239
2026,128234,137645,265879
2027,127935,137511,265446
2028,127606,137332,264938
2029,127223,137099,264322
2030,126793,136815,263608
2031,126309,136482,262791
2032,125780,136089,261869
2033,125196,135634,260830
2034,124553,135120,259673
2035,123981,134696,258677
2036,123346,134203,257549
2037,122651,133632,256283
2038,121898,132998,254896
2039,121089,132296,253385
2040,120218,131522,251740
2041,119298,130687,249985
2042,118328,129777,248105
2043,117308,128807,246115
2044,116242,127774,244016
2045,115253,126832,242085
2046,114216,125828,240044
2047,113130,124737,237867
2048,112001,123583,235584
2049,110840,122357,233197
2050,109653,121090,230743
2051,108439,119755,228194
2052,107193,118384,225577
2053,105941,116998,222939
2054,104684,115572,220256
2055,103496,114246,217742
2056,102297,112879,215176
2057,101090,111493,212583
2058,99875,110082,209957
2059,98650,108647,207297
2060,97423,107187,204610
2061,96195,105701,201896
2062,94962,104206,199168
2063,93718,102688,196406
2064,92475,101178,193653
2065,91293,99752,191045
