year,male,female,total
2019,111756,105318,217074
2020,111387,105256,216643
2021,111016,105176,216192
2022,110630,105071,215701
2023,110216,104944,215160
2024,109785,104781,214566
2025,109407,104666,214073
2026,109005,104511,213516
2027,108568,104327,212895
2028,108102,104104,212206
2029,107586,103838,211424
2030,107040,103529,210569
2031,106434,103171,209605
2032,105786,102762,208548
2033,105090,102305,207395
2034,104340,101788,206128
2035,103651,101348,204999
2036,102907,100854,203761
2037,102098,100298,202396
2038,101237,99688,200925
2039,100323,99022,199345
2040,99355,98303,197658
2041,98336,97536,195872
2042,97273,96718,193991
2043,96164,95850,192014
2044,95017,94942,189959
2045,93942,94111,188053
2046,92833,93236,186069
2047,91682,92300,183982
2048,90504,91334,181838
2049,89301,90324,179625
2050,88079,89285,177364
2051,86832,88208,175040
2052,85581,87113,172694
2053,84315,86005,170320
2054,83048,84888,167936
2055,81856,83845,165701
2056,80661,82793,163454
2057,79461,81737,161198
2058,78264,80664,158928
2059,77068,79574,156642
2060,75870,78470,154340
2061,74676,77381,152057
2062,73487,76273,149760
2063,72306,75158,147464
2064,71136,74049,145185
2065,70019,73008,143027
