year,male,female,total
2019,16469,14780,31249
2020,16378,14728,31106
2021,16283,14682,30965
2022,16182,14629,30811
2023,16082,14569,30651
2024,15975,14509,30484
2025,15876,14457,30333
2026,15776,14404,30180
2027,15672,14344,30016
2028,15560,14279,29839
2029,15442,14207,29649
2030,15325,14138,29463
2031,15192,14063,29255
2032,15059,13981,29040
2033,14914,13891,28805
2034,14759,13798,28557
2035,14617,13716,28333
2036,14468,13627,28095
2037,14314,13529,27843
2038,14150,13431,27581
2039,13983,13321,27304
2040,13812,13215,27027
2041,13632,13099,26731
2042,13448,12981,26429
2043,13263,12856,26119
2044,13071,12732,25803
2045,12893,12619,25512
2046,12717,12502,25219
2047,12535,12377,24912
2048,12349,12248,24597
2049,12162,12114,24276
2050,11977,11980,23957
2051,11783,11836,23619
2052,11589,11692,23281
2053,11397,11542,22939
2054,11206,11390,22596
2055,11030,11254,22284
2056,10857,11116,21973
2057,10684,10979,21663
2058,10512,10841,21353
2059,10345,10701,21046
2060,10177,10561,20738
2061,10013,10419,20432
2062,9848,10275,20123
2063,9684,10126,19810
2064,9514,9979,19493
2065,9352,9842,19194
