year,male,female,total
2019,10996,10107,21103
2020,10948,10085,21033
2021,10896,10057,20953
2022,10836,10024,20860
2023,10769,9991,20760
2024,10702,9956,20658
2025,10642,9928,20570
2026,10579,9895,20474
2027,10508,9857,20365
2028,10430,9815,20245
2029,10353,9770,20123
2030,10273,9717,19990
2031,10185,9661,19846
2032,10087,9599,19686
2033,9984,9532,19516
2034,9874,9459,19333
2035,9774,9398,19172
2036,9671,9330,19001
2037,9559,9257,18816
2038,9442,9181,18623
2039,9318,9097,18415
2040,9193,9008,18201
2041,9063,8915,17978
2042,8928,8821,17749
2043,8794,8724,17518
2044,8660,8625,17285
2045,8535,8536,17071
2046,8407,8443,16850
2047,8274,8351,16625
2048,8143,8256,16399
2049,8015,8158,16173
2050,7888,8053,15941
2051,7759,7949,15708
2052,7630,7844,15474
2053,7504,7736,15240
2054,7378,7630,15008
2055,7259,7532,14791
2056,7145,7435,14580
2057,7031,7336,14367
2058,6921,7239,14160
2059,6808,7142,13950
2060,6697,7042,13739
2061,6590,6946,13536
2062,6485,6847,13332
2063,6379,6746,13125
2064,6274,6641,12915
2065,6170,6544,12714
