year,male,female,total
2019,5033,4585,9618
2020,5047,4610,9657
2021,5056,4637,9693
2022,5065,4663,9728
2023,5075,4689,9764
2024,5081,4714,9795
2025,5090,4743,9833
2026,5098,4763,9861
2027,5103,4781,9884
2028,5112,4795,9907
2029,5117,4809,9926
2030,5122,4823,9945
2031,5121,4839,9960
2032,5118,4853,9971
2033,5111,4864,9975
2034,5103,4875,9978
2035,5102,4890,9992
2036,5096,4899,9995
2037,5087,4910,9997
2038,5078,4918,9996
2039,5068,4924,9992
2040,5058,4926,9984
2041,5043,4926,9969
2042,5027,4924,9951
2043,5009,4917,9926
2044,4990,4910,9900
2045,4971,4906,9877
2046,4948,4898,9846
2047,4923,4888,9811
2048,4894,4875,9769
2049,4861,4860,9721
2050,4826,4842,9668
2051,4791,4816,9607
2052,4756,4791,9547
2053,4719,4763,9482
2054,4679,4732,9411
2055,4641,4707,9348
2056,4602,4682,9284
2057,4565,4655,9220
2058,4528,4629,9157
2059,4490,4600,9090
2060,4451,4570,9021
2061,4410,4536,8946
2062,4364,4495,8859
2063,4317,4454,8771
2064,4268,4410,8678
2065,4222,4370,8592
