year,male,female,total
2019,5611,5175,10786
2020,5563,5145,10708
2021,5519,5121,10640
2022,5476,5091,10567
2023,5428,5064,10492
2024,5380,5031,10411
2025,5336,4998,10334
2026,5292,4967,10259
2027,5246,4935,10181
2028,5198,4903,10101
2029,5149,4865,10014
2030,5098,4827,9925
2031,5042,4789,9831
2032,4982,4748,9730
2033,4920,4706,9626
2034,4857,4662,9519
2035,4800,4624,9424
2036,4742,4585,9327
2037,4682,4538,9220
2038,4620,4493,9113
2039,4560,4446,9006
2040,4497,4397,8894
2041,4435,4347,8782
2042,4369,4294,8663
2043,4302,4241,8543
2044,4237,4186,8423
2045,4179,4138,8317
2046,4117,4089,8206
2047,4055,4040,8095
2048,3994,3987,7981
2049,3933,3933,7866
2050,3871,3876,7747
2051,3809,3821,7630
2052,3749,3765,7514
2053,3686,3712,7398
2054,3625,3661,7286
2055,3569,3618,7187
2056,3514,3569,7083
2057,3458,3521,6979
2058,3400,3473,6873
2059,3347,3425,6772
2060,3295,3378,6673
2061,3242,3328,6570
2062,3189,3276,6465
2063,3136,3225,6361
2064,3083,3170,6253
2065,3029,3121,6150
