年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-64歲,超過64歲,超過20歲,18-19歲
2016-04,65000010-001,新北市板橋區,留侯里,688,1656,784,872,233,1205,218,1342,33
2016-04,65000010-002,新北市板橋區,流芳里,640,1567,731,836,214,1107,246,1267,36
2016-04,65000010-003,新北市板橋區,赤松里,323,840,409,431,135,554,151,642,29
2016-04,65000010-004,新北市板橋區,黃石里,441,1186,578,608,202,801,183,916,31
2016-04,65000010-005,新北市板橋區,挹秀里,741,1805,880,925,245,1266,294,1462,42
2016-04,65000010-006,新北市板橋區,湳興里,2318,5694,2745,2949,683,4299,712,4708,124
2016-04,65000010-007,新北市板橋區,新興里,1476,3271,1578,1693,325,2442,504,2784,77
2016-04,65000010-008,新北市板橋區,社後里,4764,9171,5101,4070,697,7312,1162,8081,169
2016-04,65000010-009,新北市板橋區,香社里,1582,4524,2258,2266,518,3475,531,3733,109
2016-04,65000010-010,新北市板橋區,中正里,1618,4577,2240,2337,602,3495,480,3733,91
2016-04,65000010-011,新北市板橋區,自強里,2048,5424,2649,2775,667,3843,914,4562,94
2016-04,65000010-012,新北市板橋區,自立里,1087,2951,1428,1523,357,2178,416,2436,71
2016-04,65000010-013,新北市板橋區,光華里,1097,2817,1389,1428,309,2090,418,2357,67
2016-04,65000010-014,新北市板橋區,國光里,1566,3900,1912,1988,349,2929,622,3300,106
2016-04,65000010-015,新北市板橋區,港尾里,1104,3053,1442,1611,424,2331,298,2436,84
2016-04,65000010-016,新北市板橋區,金華里,1473,4192,2057,2135,548,3117,527,3434,100
2016-04,65000010-017,新北市板橋區,港德里,1937,5127,2529,2598,624,3780,723,4258,104
2016-04,65000010-018,新北市板橋區,民權里,1073,2777,1376,1401,322,1942,513,2331,48
2016-04,65000010-019,新北市板橋區,建國里,1419,3753,1844,1909,420,2776,557,3142,81
2016-04,65000010-020,新北市板橋區,漢生里,1689,4523,2187,2336,644,3218,661,3644,91
2016-04,65000010-021,新北市板橋區,公舘里,1473,4150,2035,2115,621,2953,576,3265,91
2016-04,65000010-022,新北市板橋區,新民里,1720,4681,2288,2393,764,3326,591,3656,105
2016-04,65000010-023,新北市板橋區,幸福里,1508,4191,2097,2094,534,3095,562,3399,112
2016-04,65000010-024,新北市板橋區,忠誠里,1667,4268,2062,2206,563,3023,682,3474,87
2016-04,65000010-025,新北市板橋區,百壽里,931,2504,1211,1293,384,1764,356,1979,53
2016-04,65000010-026,新北市板橋區,介壽里,1204,3220,1550,1670,448,2283,489,2592,73
2016-04,65000010-027,新北市板橋區,新埔里,876,2204,1070,1134,215,1643,346,1878,56
2016-04,65000010-028,新北市板橋區,華江里,3144,7712,3567,4145,1396,5616,700,5844,200
2016-04,65000010-029,新北市板橋區,江翠里,1790,4938,2440,2498,594,3716,628,4075,110
2016-04,65000010-030,新北市板橋區,純翠里,2078,5667,2767,2900,665,4358,644,4676,132
2016-04,65000010-031,新北市板橋區,溪頭里,2398,6314,3105,3209,790,4762,762,5142,165
2016-04,65000010-032,新北市板橋區,聯翠里,1638,3778,1777,2001,443,2837,498,3122,92
2016-04,65000010-033,新北市板橋區,宏翠里,2159,4975,2382,2593,600,3926,449,4125,97
