年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-64歲,超過64歲,超過20歲,18-19歲
2016-08,65000010-001,新北市板橋區,留侯里,690,1668,785,883,231,1235,202,1361,31
2016-08,65000010-002,新北市板橋區,流芳里,642,1572,730,842,215,1126,231,1278,30
2016-08,65000010-003,新北市板橋區,赤松里,323,839,407,432,141,565,133,641,30
2016-08,65000010-004,新北市板橋區,黃石里,437,1174,576,598,201,807,166,906,31
2016-08,65000010-005,新北市板橋區,挹秀里,736,1789,875,914,243,1274,272,1450,46
2016-08,65000010-006,新北市板橋區,湳興里,2329,5706,2748,2958,686,4347,673,4716,134
2016-08,65000010-007,新北市板橋區,新興里,1471,3273,1564,1709,338,2463,472,2779,71
2016-08,65000010-008,新北市板橋區,社後里,4809,9223,5124,4099,686,7507,1030,8154,159
2016-08,65000010-009,新北市板橋區,香社里,1579,4514,2251,2263,513,3510,491,3733,109
2016-08,65000010-010,新北市板橋區,中正里,1605,4534,2213,2321,585,3520,429,3706,93
2016-08,65000010-011,新北市板橋區,自強里,2054,5410,2641,2769,656,3919,835,4567,80
2016-08,65000010-012,新北市板橋區,自立里,1099,2939,1425,1514,347,2213,379,2430,71
2016-08,65000010-013,新北市板橋區,光華里,1099,2809,1377,1432,315,2114,380,2351,63
2016-08,65000010-014,新北市板橋區,國光里,1567,3872,1892,1980,344,2963,565,3280,106
2016-08,65000010-015,新北市板橋區,港尾里,1102,3056,1440,1616,429,2361,266,2437,91
2016-08,65000010-016,新北市板橋區,金華里,1464,4157,2037,2120,539,3141,477,3412,90
2016-08,65000010-017,新北市板橋區,港德里,1936,5119,2532,2587,631,3847,641,4237,107
2016-08,65000010-018,新北市板橋區,民權里,1076,2756,1361,1395,314,1968,474,2324,42
2016-08,65000010-019,新北市板橋區,建國里,1420,3746,1832,1914,413,2818,515,3149,77
2016-08,65000010-020,新北市板橋區,漢生里,1675,4490,2174,2316,658,3224,608,3618,87
2016-08,65000010-021,新北市板橋區,公舘里,1469,4113,2006,2107,601,2981,531,3253,91
2016-08,65000010-022,新北市板橋區,新民里,1733,4685,2286,2399,765,3380,540,3660,98
2016-08,65000010-023,新北市板橋區,幸福里,1514,4167,2079,2088,521,3133,513,3390,113
2016-08,65000010-024,新北市板橋區,忠誠里,1668,4260,2070,2190,559,3063,638,3461,92
2016-08,65000010-025,新北市板橋區,百壽里,924,2492,1202,1290,396,1769,327,1956,55
2016-08,65000010-026,新北市板橋區,介壽里,1221,3222,1545,1677,457,2320,445,2591,72
2016-08,65000010-027,新北市板橋區,新埔里,868,2184,1064,1120,214,1645,325,1861,53
2016-08,65000010-028,新北市板橋區,華江里,3159,7743,3587,4156,1402,5708,633,5884,188
2016-08,65000010-029,新北市板橋區,江翠里,1788,4908,2411,2497,576,3758,574,4059,117
2016-08,65000010-030,新北市板橋區,純翠里,2079,5664,2779,2885,667,4405,592,4677,122
2016-08,65000010-031,新北市板橋區,溪頭里,2409,6314,3101,3213,786,4833,695,5150,168
2016-08,65000010-032,新北市板橋區,聯翠里,1636,3782,1775,2007,438,2884,460,3130,90
2016-08,65000010-033,新北市板橋區,宏翠里,2166,4974,2378,2596,595,3965,414,4127,95
2016-08,65000010-034,新北市板橋區,仁翠里,1117,3040,1480,1560,324,2328,388,2574,58
2016-08,65000010-035,新北市板橋區,新翠里,3060,8194,3940,4254,1001,6569,624,6658,201
2016-08,65000010-036,新北市板橋區,吉翠里,1375,3959,1930,2029,505,3113,341,3239,91
