year,male,female,total
2019,10097,9013,19110
2020,10071,9013,19084
2021,10041,9009,19050
2022,10005,9003,19008
2023,9968,8998,18966
2024,9931,8996,18927
2025,9896,9000,18896
2026,9859,8995,18854
2027,9822,8987,18809
2028,9777,8976,18753
2029,9729,8958,18687
2030,9677,8941,18618
2031,9622,8919,18541
2032,9561,8892,18453
2033,9497,8864,18361
2034,9426,8829,18255
2035,9364,8800,18164
2036,9292,8767,18059
2037,9216,8730,17946
2038,9138,8683,17821
2039,9055,8634,17689
2040,8962,8577,17539
2041,8869,8519,17388
2042,8773,8458,17231
2043,8675,8401,17076
2044,8574,8338,16912
2045,8479,8280,16759
2046,8382,8218,16600
2047,8287,8158,16445
2048,8187,8097,16284
2049,8084,8031,16115
2050,7982,7961,15943
2051,7882,7885,15767
2052,7777,7808,15585
2053,7673,7729,15402
2054,7564,7650,15214
2055,7464,7572,15036
2056,7363,7496,14859
2057,7262,7419,14681
2058,7161,7338,14499
2059,7061,7255,14316
2060,6960,7167,14127
2061,6857,7083,13940
2062,6753,6989,13742
2063,6649,6897,13546
2064,6545,6805,13350
2065,6446,6717,13163
