year,male,female,total
2019,47655,48116,95771
2020,47748,48307,96055
2021,47827,48495,96322
2022,47898,48670,96568
2023,47958,48833,96791
2024,47999,48984,96983
2025,48046,49132,97178
2026,48077,49266,97343
2027,48098,49381,97479
2028,48100,49475,97575
2029,48082,49548,97630
2030,48037,49598,97635
2031,47971,49630,97601
2032,47882,49635,97517
2033,47771,49613,97384
2034,47635,49571,97206
2035,47515,49547,97062
2036,47365,49497,96862
2037,47198,49420,96618
2038,47005,49316,96321
2039,46788,49186,95974
2040,46547,49035,95582
2041,46281,48854,95135
2042,45996,48653,94649
2043,45694,48426,94120
2044,45374,48171,93545
2045,45076,47941,93017
2046,44761,47677,92438
2047,44420,47387,91807
2048,44061,47067,91128
2049,43686,46717,90403
2050,43294,46344,89638
2051,42886,45944,88830
2052,42457,45526,87983
2053,42020,45089,87109
2054,41573,44634,86207
2055,41154,44208,85362
2056,40723,43768,84491
2057,40282,43311,83593
2058,39831,42834,82665
2059,39370,42348,81718
2060,38902,41843,80745
2061,38428,41327,79755
2062,37944,40803,78747
2063,37457,40271,77728
2064,36965,39731,76696
2065,36489,39225,75714
