year,male,female,total
2019,97993,101031,199024
2020,97817,101097,198914
2021,97624,101140,198764
2022,97405,101153,198558
2023,97158,101121,198279
2024,96883,101052,197935
2025,96636,101002,197638
2026,96358,100926,197284
2027,96058,100808,196866
2028,95709,100640,196349
2029,95321,100423,195744
2030,94880,100152,195032
2031,94404,99829,194233
2032,93882,99460,193342
2033,93311,99033,192344
2034,92686,98540,191226
2035,92114,98111,190225
2036,91491,97621,189112
2037,90823,97084,187907
2038,90109,96486,186595
2039,89354,95829,185183
2040,88546,95109,183655
2041,87700,94331,182031
2042,86814,93503,180317
2043,85898,92626,178524
2044,84953,91706,176659
2045,84070,90865,174935
2046,83152,89965,173117
2047,82205,89008,171213
2048,81231,88003,169234
2049,80237,86946,167183
2050,79233,85874,165107
2051,78212,84755,162967
2052,77178,83622,160800
2053,76138,82474,158612
2054,75099,81320,156419
2055,74128,80245,154373
2056,73156,79174,152330
2057,72178,78083,150261
2058,71194,76985,148179
2059,70203,75872,146075
2060,69215,74749,143964
2061,68227,73627,141854
2062,67225,72491,139716
2063,66223,71358,137581
2064,65220,70235,135455
2065,64265,69179,133444
