year,male,female,total
2019,53943,54680,108623
2020,53884,54734,108618
2021,53810,54780,108590
2022,53722,54809,108531
2023,53623,54824,108447
2024,53509,54820,108329
2025,53417,54833,108250
2026,53317,54833,108150
2027,53201,54820,108021
2028,53070,54787,107857
2029,52921,54732,107653
2030,52749,54650,107399
2031,52555,54550,107105
2032,52343,54429,106772
2033,52112,54285,106397
2034,51851,54117,105968
2035,51623,53981,105604
2036,51365,53812,105177
2037,51082,53622,104704
2038,50774,53403,104177
2039,50448,53158,103606
2040,50090,52881,102971
2041,49712,52580,102292
2042,49318,52252,101570
2043,48900,51896,100796
2044,48459,51512,99971
2045,48050,51161,99211
2046,47626,50781,98407
2047,47178,50372,97550
2048,46710,49938,96648
2049,46229,49472,95701
2050,45733,48986,94719
2051,45224,48471,93695
2052,44707,47938,92645
2053,44185,47395,91580
2054,43659,46838,90497
2055,43167,46320,89487
2056,42666,45783,88449
2057,42158,45238,87396
2058,41646,44678,86324
2059,41127,44105,85232
2060,40615,43528,84143
2061,40092,42948,83040
2062,39561,42364,81925
2063,39033,41769,80802
2064,38501,41170,79671
2065,37993,40607,78600
